ENTREZ_GENE_A	ENTREZ_GENE_B
4842	29382
581	116502
8031	24413
25414	25513
25414	25513
9261	24855
24855	7529
5783	24205
29382	24598
24205	5783
24205	5783
89816	361512
361512	25139
26574	292925
292925	26574
8655	310218
8655	24533
8655	24189
8655	64520
8655	50688
8655	24957
8655	81822
8655	287876
8655	24551
8655	81818
8655	499110
8655	24399
8655	64158
8655	291081
8655	64845
8655	60416
8655	65152
8655	81918
8655	64862
8655	29489
8655	307169
8655	29495
8655	171574
8655	24409
8655	81522
8655	25751
8655	29264
8655	24598
8655	191573
8655	289623
117542	58948
117542	361503
117542	308113
117542	25252
117542	113970
117542	60377
10458	60377
117542	60377
65218	29546
65218	29547
29290	309557
29290	309557
29290	309557
25456	64845
25456	64303
25456	268566
25456	18643
64845	64303
64845	81531
64845	360891
64845	360891
1808	29419
24766	6330
8028	64158
117277	64158
64158	117277
64158	60443
7157	365895
54323	85423
85423	54323
65137	5340
83797	24516
83797	314322
171379	361825
29665	60
29665	3312
29665	3308
29665	5803
29665	3689
29665	4356
29665	3909
29665	81
29665	6840
29665	6840
29665	5803
29665	3689
29665	60
29665	3312
29665	3320
29665	3308
29665	4356
29665	3909
29665	81
29665	3320
553106	54241
553106	81822
553106	24383
553106	54241
553106	81822
553106	54241
553106	81822
553106	24383
83718	29753
83718	25578
83718	81822
83718	140694
83718	25578
83718	81822
83718	140694
83718	25578
83718	140694
25578	83718
140694	25932
83718	857
25097	81822
25097	81822
5338	81822
5337	81822
79434	6721
79723	288353
114034	84026
2804	362598
18024	79255
79255	18024
25747	497778
497778	19013
497778	19015
497778	19016
497778	25747
309	25676
58974	140674
58974	29709
58974	64845
312703	266759
6722	81785
81771	2115
25012	6804
25012	2054
25012	6809
25012	6810
6804	25012
2054	25012
6809	25012
6810	25012
6812	83589
6812	83610
6812	29495
6812	65134
83589	25558
83589	25558
83589	116470
83589	116470
83589	25012
83610	25558
83610	116470
116500	308578
25718	293692
25718	116500
116500	293692
53822	24211
53822	25650
11244	171159
7832	84591
84591	7832
84591	7832
1048	116655
116655	1048
140938	2908
140938	2908
24536	25239
25239	24536
24536	25239
29741	25467
29741	29376
2773	84595
64680	7349
363875	64158
363875	291081
51102	25735
51102	24831
192258	113894
170840	113894
113894	113894
192258	113894
113894	25522
113894	29738
58822	18626
58822	18627
58822	18628
1050	81647
81647	1050
1050	81647
81647	1050
81647	1051
65201	23122
81672	281165
24418	281165
60590	281165
81672	2316
81823	83722
81823	58936
81823	83722
81823	58936
24596	94275
24596	94275
24596	94275
10659	54225
266714	117519
51100	170920
170920	51100
51100	170920
170920	51100
419824	83841
419824	311532
419824	83841
83841	83841
83841	83841
83841	83841
311532	311532
311532	83841
83841	311532
140722	29647
140722	29647
1742	56725
1742	25469
1742	24410
54292	3579
3579	54292
3579	54292
25747	8204
24176	171026
24176	24681
24176	171026
171046	85489
171046	25585
171046	161475
171046	161475
83840	1460
56718	1978
117045	1981
117045	1981
81812	5295
24855	7248
56718	10243
60445	24715
60445	24855
83613	24855
2475	25125
25467	25513
2280	56718
24855	60445
83613	60445
25513	81812
287711	83840
56718	116636
117045	116636
117045	116636
117045	116636
117045	116636
3643	58844
25567	25393
24338	1948
81678	7223
54300	29468
246232	24185
246232	24185
291981	291981
291981	84509
60668	140694
313845	29704
24831	5469
24831	9326
24831	9325
24831	3832
24831	7205
24831	9324
24831	221037
24831	4793
24831	9322
24831	9321
24831	9318
84476	54287
65248	1080
24208	1499
3064	54299
8673	60466
8673	65277
8673	59074
116549	852107
360820	170922
114901	65040
24598	29161
29161	24598
56011	29219
29219	56011
29219	29340
29219	24680
29219	24681
64639	29219
29219	24703
29219	170851
25069	7186
25069	7188
29219	25085
25085	29219
116543	94188
78976	289023
64391	64513
64391	29885
64391	79255
64391	24851
64391	114512
64391	114512
64391	79255
64391	24851
64391	114512
64391	29885
64391	64513
64391	64513
64513	64391
29546	78957
29546	59312
29546	78957
29546	59312
29546	78957
78957	29546
59312	286923
59312	286923
286923	59312
59312	24418
25454	18188
25454	25453
25454	25453
25468	60465
304807	299156
64667	64667
282173	80278
282173	252827
282173	286919
13644	50646
50646	13644
50646	10278
25738	65178
65178	25738
25738	65178
83529	10018
10018	83529
6256	25591
