geneset	gene
GS1132	6532
GS1132	6531
GS1132	4852
GS1132	1815
GS1132	5173
GS1132	3356
GS1132	7054
GS1132	1268
GS1132	7166
GS1132	3351
GS1132	2559
GS1132	1312
GS1132	2554
GS1132	1621
GS1132	255239
GS1132	1813
GS1132	126
GS1132	125
GS1132	4128
GS1132	1129
GS1132	217
GS1132	4986
GS1132	1814
GS1132	121278
GS1132	2166
GS1132	4988
GS1132	1565
GS121068	9547
GS121068	83938
GS121068	137868
GS121068	5137
GS121068	5890
GS121068	79875
GS121068	60495
GS121068	114784
GS121068	92291
GS121068	6263
GS121068	2898
GS121068	158038
GS121068	29119
GS121068	64478
GS121068	27255
GS121068	80206
GS121068	10752
GS121068	1501
GS121068	5087
GS121068	29922
GS121068	2272
GS121068	5797
GS121068	8048
GS121068	54715
GS121068	2913
GS121068	117583
GS121068	50807
GS121068	1012
GS121068	53353
GS1229	79971
GS1229	1278
GS1229	8880
GS1229	2774
GS1229	11309
GS1229	7529
GS1229	595
GS1229	55790
GS1229	11315
GS1229	4852
GS1229	81575
GS1229	79716
GS1229	10186
GS1229	3187
GS1229	3400
GS1229	26098
GS1229	54551
GS1229	712
GS1229	56112
GS1229	5604
GS1229	4692
GS1229	11201
GS1229	534
GS1229	9547
GS1229	155400
GS1229	240
GS1229	3831
GS1229	23205
GS1229	10161
GS1229	1462
GS1229	361
GS1229	3419
GS1229	4718
GS1229	713
GS1229	51312
GS1229	50813
GS1229	7297
GS1229	4023
GS1229	1871
GS1229	7422
GS1229	55268
GS1229	4826
GS1229	10863
GS1229	2028
GS1229	5594
GS1229	55505
GS1229	4282
GS1229	10016
GS1229	10561
GS1229	55112
GS1229	5126
GS1229	5173
GS1229	10577
GS1229	10227
GS1229	56924
GS1229	6659
GS1229	472
GS1229	37
GS1229	56898
GS1229	478
GS1229	64092
GS1229	9168
GS1229	4714
GS1229	10163
GS1229	4332
GS1229	55125
GS1229	526
GS1229	1340
GS1229	6505
GS1229	10291
GS1229	4741
GS1229	10522
GS1229	1984
GS1229	5223
GS1229	23521
GS1229	7991
GS1229	2023
GS1229	408
GS1229	2210
GS1229	55384
GS1229	26054
GS1229	8906
GS1229	287
GS1229	1114
GS1229	6447
GS1229	2263
GS1229	3157
GS1229	1612
GS1229	9450
GS1229	7791
GS1229	3797
GS1229	2648
GS1229	3043
GS1229	1837
GS1229	5646
GS1229	5920
GS1229	7072
GS1229	100499177
GS1229	677
GS1229	23015
GS1229	259217
GS1229	10581
GS1229	5190
GS1229	151011
GS1229	51341
GS1229	10410
GS1229	2018
GS1229	10157
GS1229	10346
GS1229	57556
GS1229	9659
GS1229	2152
GS1229	2037
GS1229	8899
GS1229	2017
GS1229	440270
GS1229	7078
GS1229	65998
GS1229	9295
GS1229	6934
GS1229	10899
GS1229	6950
GS1229	2202
GS1229	5872
GS1229	4330
GS1229	6048
GS1229	388677
GS1229	2805
GS1229	9215
GS1229	1491
GS1229	26268
GS1229	2557
GS1229	3755
GS1229	54520
GS1229	1545
GS1229	29896
GS1229	11332
GS1229	22948
GS1229	1737
GS1229	65110
GS1229	9639
GS1229	8815
GS1229	79811
GS1229	11033
GS1229	5058
GS1229	79844
GS1229	6282
GS1229	7572
GS1229	5799
GS1229	8507
GS1229	19
GS1229	3590
GS1229	5272
GS1229	6252
GS1229	24141
GS1229	302
GS1229	150759
GS1229	2821
GS1229	529
GS1229	25977
GS1229	8718
GS1229	7412
GS1229	64850
GS1229	6616
GS1229	10299
GS1229	7386
GS1229	5690
GS1229	10591
GS1229	10409
GS1229	120
GS1229	85021
GS1229	56339
GS1229	23089
GS1229	2040
GS1229	3312
GS1229	6925
GS1229	3122
GS1229	11057
GS1229	10147
GS1229	3688
GS1229	728498
GS1229	55856
GS1229	54103
GS1229	4043
GS1229	91754
GS1229	119
GS1229	7525
GS1229	5445
GS1229	10209
GS1229	23191
GS1229	2861
GS1229	7167
GS1229	994
GS1229	8725
GS1229	9362
