geneset	term
GS1132	D010551
GS1132	D004777
GS1132	D000339
GS1132	D019966
GS1132	D013312
GS1132	D012309
GS1132	MP:0002555
GS1132	MP:0002555
GS1132	D010551
GS1132	D019966
GS1132	D003042
GS1132	D004777
GS1132	D007175
GS1132	D003932
GS1132	D014644
GS1132	D015897
GS1132	D014644
GS1132	D012306
GS1132	D012008
GS1132	D016454
GS1132	D008954
GS1132	D000818
GS1132	D006801
GS1132	D012309
GS1132	D008091
GS1229	GO:0010467
GS1229	D003932
GS1229	MA:0000168
GS1229	D009435
GS1229	D018377
GS1229	D003042
GS1229	D019970
GS1229	GO:0005634
GS1229	D016424
GS1229	D016424
GS1229	D032882
GS1229	D006801
GS1229	D003932
GS1229	D019970
GS1229	GO:0005634
GS1229	D020411
GS1229	D018377
GS1229	D004364
GS1229	GO:0010467
GS1229	D006556
GS1229	D008875
GS1229	D000328
GS1229	D020133
GS1229	D009714
GS1229	D012333
GS1229	D006556
GS1229	D006801
GS1229	D019966
GS1229	D020869
GS1229	D001921
GS1229	MP:0002555
GS1229	D013812
GS1229	D011506
GS1229	D011180
GS1229	D020869
GS1229	D016022
GS1229	D003042
GS1229	D004298
GS1229	D009714
GS1229	D009714
GS1230	D003042
GS1230	D009714
GS1230	D019970
GS1230	D003932
GS1230	GO:0005634
GS1230	D032882
GS1230	D019966
GS1230	D020869
GS1230	D004298
GS1230	D011506
GS1230	D013812
GS1230	D004364
GS1230	D019970
GS1230	D003042
GS1230	D018377
GS1230	D009435
GS1230	MA:0000168
GS1230	GO:0010467
GS1230	D006556
GS1230	D000328
GS1230	D012333
GS1230	D006556
GS1230	D006801
GS1230	D001921
GS1230	D009714
GS1230	MP:0002555
GS1230	D016424
GS1230	D006801
GS1230	D003932
GS1230	GO:0005634
GS1230	D020411
GS1230	D018377
GS1230	D012718
GS1230	D020133
GS1230	D009714
GS1230	D008875
GS1230	D011180
GS1230	D016022
GS1231	D000328
GS1231	D006556
GS1231	D003042
GS1231	D001921
GS1231	D006801
GS1231	D019966
GS1231	D020869
GS1231	D004298
GS1231	D011506
GS1231	D013812
GS1231	D004364
GS1231	D019970
GS1231	D003042
GS1231	D018377
GS1231	D009435
GS1231	MA:0000168
GS1231	GO:0010467
GS1231	D009714
GS1231	D020133
GS1231	D012718
GS1231	D018377
GS1231	D009714
GS1231	D009714
GS1231	D006801
GS1231	D012333
GS1231	D019970
GS1231	D008875
GS1231	GO:0005634
GS1231	D003932
GS1231	D032882
GS1231	GO:0005634
GS1231	D003932
GS1231	D016424
GS1231	D016022
GS1231	D011180
GS1231	MP:0002555
GS1231	D006556
GS1231	D020411
GS1232	D003932
GS1232	D003042
GS1232	D001921
GS1232	D020411
GS1232	D006556
GS1232	D009714
GS1232	D006801
GS1232	D019966
GS1232	D020133
GS1232	D019970
GS1232	D012333
GS1232	D006556
GS1232	D006801
GS1232	D000328
GS1232	D020869
GS1232	MP:0002555
GS1232	D016424
GS1232	D004298
GS1232	D011506
GS1232	D013812
GS1232	D004364
GS1232	D019970
GS1232	D003042
GS1232	D018377
GS1232	D003932
GS1232	GO:0005634
GS1232	D032882
GS1232	D008875
GS1232	GO:0005634
GS1232	D016022
GS1232	D012718
GS1232	D009435
GS1232	D009714
GS1232	D009714
GS1232	D011180
GS1232	MA:0000168
GS1232	D018377
GS1232	GO:0010467
GS1234	D032882
GS1234	D008875
GS1234	D003042
GS1234	D018377
GS1234	D006556
GS1234	MP:0002555
GS1234	D009714
GS1234	D016424
GS1234	D001921
GS1234	D009714
GS1234	D006556
GS1234	D006801
GS1234	D020411
GS1234	D000328
GS1234	D019966
GS1234	D020869
GS1234	D003932
GS1234	GO:0005634
GS1234	D004298
GS1234	D011180
GS1234	D011506
GS1234	D013812
GS1234	D009714
GS1234	D020133
GS1234	D004364
GS1234	D019970
GS1234	D019970
GS1234	D016022
GS1234	D003042
GS1234	D018377
GS1234	D012333
GS1234	D012718
GS1234	D009435
GS1234	D003932
GS1234	MA:0000168
GS1234	D006801
GS1234	GO:0005634
GS1234	GO:0010467
GS14904	D006801
GS14904	D018849
GS14904	D002477
GS14904	D019966
GS14904	D016540
GS14904	D001244
GS14904	D009010
GS14904	D001244
GS14904	D018687
GS14904	D000328
GS14904	D055106
GS14904	D016678
GS14904	D012907
GS14904	GO:0007155
GS14904	D010045
GS14904	D008568
GS14904	D020022
GS14904	D004311
GS14904	D014644
GS14904	GO:0005623
GS14904	D000483
GS14904	D008967
GS14904	D016642
GS14904	D016642
GS14904	D018486
GS14904	D016896
GS14904	D009538
GS14904	D016642
GS14904	D012907
GS14904	D009538
GS14904	D009538
GS14904	D006262
GS14904	D002448
GS14904	GO:0007613
GS14904	D020641
GS14904	D001076
GS14904	D014427
GS14904	D020641
GS14904	D018722
GS14904	D014029
GS14904	D016540
GS14904	D011634
GS14904	D002874
GS14904	D004305
GS14904	D004247
GS14904	D012313
GS14904	D005823
GS14904	D019966
GS14904	D013812
GS14904	D005819
GS14905	D020022
GS14905	D055106
GS14905	D055106
GS14905	D014029
GS14905	D014029
GS14905	GO:0005623
GS14905	D000483
GS14905	D000483
GS14905	D020641
GS14905	D001076
GS14905	D020641
GS14905	D014029
GS14905	D012718
GS14905	D004247
GS14905	D012313
GS14905	D012718
GS14905	D004247
GS14905	D018377
GS14905	D018377
GS14905	D002477
GS14905	D013812
GS14905	D011506
GS14905	D005823
GS14905	D013375
GS14905	D001244
GS14905	D001244
GS14905	D012926
GS14905	D005819
GS14905	D006801
GS14905	D012907
GS14905	D009538
GS14905	D012907
GS14905	D009538
GS14905	D005838
GS14905	D032882
GS14905	D005787
GS14905	D005787
GS14905	D015894
GS14905	D008967
GS14905	GO:0007155
GS14905	D016540
GS14905	D000328
GS14905	D016540
GS14905	D058028
GS14905	D016540
GS14905	D002448
GS14905	D035061
GS14905	D004798
GS14906	D001076
GS14906	D020641
GS14906	D016540
GS14906	D014029
GS14906	D014029
GS14906	GO:0007155
GS14906	D018377
GS14906	D002477
GS14906	D035061
GS14906	D002448
GS14906	D004798
GS14906	D013812
GS14906	D005787
GS14906	D005787
GS14906	D055106
GS14906	D004247
GS14906	D012718
GS14906	D012313
GS14906	D004247
GS14906	D012718
GS14906	D012907
GS14906	D009538
GS14906	D012907
GS14906	D009538
GS14906	D005819
GS14906	D032882
GS14906	D005838
GS14906	D016540
GS14906	D015894
GS14906	D000483
GS14906	D000483
GS14906	D016540
GS14906	D008967
GS14906	D001244
GS14906	D055106
GS14906	GO:0005623
GS14906	D013375
GS14906	D014029
GS14906	D011506
GS14906	D020641
GS14906	D005823
GS14906	D018377
GS14906	D020022
GS14906	D058028
GS14906	D000328
GS14906	D001244
GS14906	D006801
GS14906	D012926
GS14907	D009316
GS14907	D006664
GS14907	D016540
GS14907	D058028
GS14907	D016896
GS14907	D005787
GS14907	D035842
GS14907	D006239
GS14907	D009538
GS14907	D012907
