geneset	term
GS1228	D000818
GS1228	D011978
GS1228	D011978
GS1228	D014158
GS1228	D002118
GS1228	D002874
GS1228	MP:0002169
GS1228	GO:0005623
GS1228	D009154
GS1228	D009938
GS1228	D014443
GS1228	D020411
GS1228	D009419
GS1228	D009128
GS1228	D016296
GS1228	MP:0002169
GS1228	D009154
GS1228	D001921
GS1228	D008815
GS1228	D004602
GS1228	D005786
GS1228	GO:0051276
GS1228	GO:0005509
GS1228	GO:0016049
GS1228	D012640
GS1228	D012640
GS1228	GO:0043167
GS1228	D010264
GS1228	D033481
GS1228	D018345
GS1228	D006128
GS1228	D032882
GS1228	GO:0005488
GS1228	GO:0016791
GS1228	D020869
GS1228	D051379
GS1228	D008810
GS1228	D020133
GS1228	GO:0040007
GS1228	D008283
GS1228	D002899
GS1228	D016000
GS1228	D016296
GS1228	D001921
GS1228	D051379
GS1228	D012333
GS1228	D012380
GS1228	D000109
GS1228	D001007
GS1228	D001921
GS1228	D000818
GS1228	D051379
GS1228	D002875
GS1228	D012333
GS1228	D011506
GS1228	D012380
GS1228	D000109
GS1228	D002477
GS1228	D001007
GS1228	MA:0000168
GS1228	GO:0005694
GS1228	D000483
GS1228	D011978
GS14887	D025341
GS14887	D008810
GS14887	D012194
GS14887	D000679
GS14887	D018076
GS14887	D009474
GS14887	D001522
GS14887	D051379
GS14887	D020869
GS14887	D009435
GS14887	D020411
GS14887	D001921
GS14887	GO:0007049
GS14887	D001921
GS14887	D051379
GS14887	D020869
GS14887	D013812
GS14887	D020411
GS14887	D006624
GS14887	MA:0000168
GS14887	MA:0000191
GS14887	GO:0010467
GS14887	D001921
GS14887	D051379
GS14887	D020869
GS14887	D013812
GS14887	D014024
GS14887	D020411
GS14887	D002477
GS14887	D006624
GS14887	MA:0000168
GS14887	MA:0000191
GS14887	GO:0048513
GS14887	GO:0010467
GS14887	D009714
GS14887	D055694
GS14887	D009714
GS14887	D055694
GS14887	GO:0005634
GS14887	GO:0005634
GS14887	D016133
GS14887	D013045
GS14887	D038081
GS14887	D017397
GS14887	D017397
GS14887	D017557
GS14887	D016133
GS14887	D017557
GS14887	D002455
GS14887	D038081
GS14887	GO:0035094
GS14887	D008809
GS14887	D012107
GS14887	D058028
GS14887	MP:0002555
GS14887	D038081
GS14887	D012439
GS14887	D007062
GS14887	D004326
GS14887	D020133
GS14887	D020133
GS14887	D009538
GS14887	D009538
GS14887	D009538
GS14887	GO:0043739
GS14887	D012321
GS14887	GO:0019226
GS14887	D014158
GS14887	D012718
GS14887	D004247
GS14887	D014867
GS14887	D000200
GS14887	GO:0005623
GS14887	MA:0000217
GS14887	MA:0000887
GS14887	D000818
GS14887	D002453
GS14887	D018076
GS14888	D025341
GS14888	D055694
GS14888	D009714
GS14888	D002477
GS14888	D055694
GS14888	D000679
GS14888	D009714
GS14888	D020411
GS14888	D014024
GS14888	D013812
GS14888	D020869
GS14888	D051379
GS14888	D016133
GS14888	D013045
GS14888	D038081
GS14888	D001921
GS14888	GO:0010467
GS14888	GO:0005623
GS14888	MA:0000217
GS14888	D017557
GS14888	D016133
GS14888	MA:0000887
GS14888	D018076
GS14888	D012194
GS14888	D002455
GS14888	D017397
GS14888	D017397
GS14888	D038081
GS14888	GO:0035094
GS14888	MA:0000191
GS14888	MA:0000168
GS14888	D008810
GS14888	D008809
GS14888	D012107
GS14888	D058028
GS14888	MP:0002555
GS14888	D004247
GS14888	D014867
GS14888	D000200
GS14888	D006624
GS14888	D013812
GS14888	D020869
GS14888	D051379
GS14888	D038081
GS14888	D001921
GS14888	D012439
GS14888	D007062
GS14888	D004326
GS14888	GO:0005634
GS14888	GO:0005634
GS14888	GO:0007049
GS14888	D020133
GS14888	D020133
GS14888	D009538
GS14888	D020411
GS14888	D001921
GS14888	D020869
GS14888	D009474
GS14888	D009538
GS14888	D009538
GS14888	GO:0043739
GS14888	D009435
GS14888	D000818
GS14888	D012321
GS14888	GO:0019226
GS14888	D014158
GS14888	D001522
GS14888	D051379
GS14888	D002453
GS14888	D012718
GS14888	D006624
GS14888	MA:0000168
GS14888	MA:0000191
GS14888	GO:0048513
GS14888	GO:0010467
GS14889	D020411
GS14889	D012107
GS14889	D058028
GS14889	MP:0002555
GS14889	D001921
GS14889	D051379
GS14889	D020869
GS14889	D013812
GS14889	D006624
GS14889	MA:0000168
GS14889	MA:0000191
GS14889	D012718
GS14889	GO:0010467
GS14889	D038081
GS14889	D001921
GS14889	D004247
GS14889	D051379
GS14889	D012439
GS14889	D007062
GS14889	D004326
GS14889	D020869
GS14889	D013812
GS14889	D014867
GS14889	D000200
GS14889	D014024
GS14889	D008809
GS14889	D002477
GS14889	D009435
GS14889	D006624
GS14889	D020133
GS14889	MA:0000168
GS14889	D020133
GS14889	MA:0000191
GS14889	D009538
GS14889	GO:0048513
GS14889	D001921
GS14889	GO:0010467
GS14889	D020411
GS14889	D020869
GS14889	D000818
GS14889	D009538
GS14889	D009538
GS14889	GO:0043739
GS14889	D012321
GS14889	GO:0019226
GS14889	D055694
GS14889	D009714
GS14889	D055694
GS14889	D000679
GS14889	D009714
GS14889	GO:0005623
GS14889	MA:0000217
GS14889	MA:0000887
GS14889	D014158
GS14889	D051379
GS14889	D016133
GS14889	D018076
GS14889	GO:0005634
GS14889	D012194
GS14889	D013045
GS14889	D025341
GS14889	D038081
GS14889	D002453
GS14889	D017557
GS14889	D016133
GS14889	D001522
GS14889	D002455
GS14889	GO:0007049
GS14889	D008810
GS14889	D009474
GS14889	GO:0005634
GS14889	D017397
GS14889	D017397
GS14889	D038081
GS14889	GO:0035094
GS14890	D008810
GS14890	MA:0000168
GS14890	MA:0000191
GS14890	GO:0010467
GS14890	D020411
GS14890	D002477
GS14890	D008809
GS14890	D012107
GS14890	D058028
GS14890	MP:0002555
GS14890	GO:0010467
GS14890	D012194
GS14890	D017397
GS14890	D006624
GS14890	MA:0000168
GS14890	MA:0000191
GS14890	D002453
GS14890	D012321
GS14890	GO:0019226
GS14890	D014158
GS14890	D001921
GS14890	D017557
GS14890	D016133
GS14890	D017557
GS14890	GO:0005623
GS14890	MA:0000217
GS14890	D038081
GS14890	D055694
GS14890	D009714
GS14890	D055694
GS14890	D000679
GS14890	D007062
GS14890	D004326
GS14890	D009714
GS14890	D000818
GS14890	D025341
GS14890	D018076
GS14890	D014024
GS14890	D038081
GS14890	GO:0007049
GS14890	D012439
GS14890	GO:0005634
GS14890	D020869
GS14890	D051379
GS14890	D012718
GS14890	GO:0005634
GS14890	GO:0035094
GS14890	D020133
GS14890	D020133
GS14890	GO:0048513
GS14890	D004247
GS14890	D020869
GS14890	D020411
GS14890	D009538
GS14890	D016133
GS14890	D014867
GS14890	D013045
GS14890	MA:0000887
GS14890	D002455
GS14890	D009474
GS14890	D001921
GS14890	D038081
GS14890	D051379
GS14890	D001921
GS14890	D000200
GS14890	D051379
GS14890	D018076
GS14890	D020869
GS14890	D013812
GS14890	D020411
GS14890	D017397
GS14890	D009435
GS14890	D013812
GS14890	D009538
GS14890	D009538
GS14890	GO:0043739
GS14890	D001522
GS14890	D006624
GS14891	D013812
GS14891	D055694
GS14891	D009714
GS14891	D055694
GS14891	D000679
GS14891	D009435
GS14891	D001921
GS14891	D051379
GS14891	D020869
GS14891	D020411
GS14891	D006624
GS14891	MA:0000168
GS14891	MA:0000191
GS14891	GO:0010467
GS14891	D001921
GS14891	D051379
GS14891	D020869
GS14891	D013812
GS14891	D014024
GS14891	D020411
GS14891	D002477
GS14891	D006624
GS14891	MA:0000168
GS14891	MA:0000191
GS14891	GO:0048513
GS14891	GO:0010467
GS14891	GO:0005623
GS14891	MA:0000217
GS14891	MA:0000887
GS14891	D018076
GS14891	D012194
GS14891	D025341
GS14891	D018076
GS14891	D008810
GS14891	D009474
GS14891	D051379
GS14891	D020869
GS14891	D001921
GS14891	D020411
GS14891	D001522
GS14891	D002453
GS14891	D000818
GS14891	D000200
GS14891	D014867
GS14891	D004247
GS14891	D012718
GS14891	D014158
GS14891	GO:0019226
GS14891	D012321
GS14891	GO:0043739
GS14891	D009538
GS14891	D009538
GS14891	D009538
GS14891	D020133
GS14891	D020133
GS14891	D012439
GS14891	D004326
GS14891	D007062
GS14891	D038081
GS14891	MP:0002555
GS14891	D058028
GS14891	D012107
GS14891	D008809
GS14891	GO:0035094
GS14891	D038081
GS14891	D017397
GS14891	D017397
GS14891	D002455
GS14891	D016133
GS14891	D017557
GS14891	D038081
GS14891	D013045
GS14891	D016133
GS14891	GO:0005634
GS14891	GO:0005634
GS14891	GO:0007049
GS14891	D009714
GS14892	D000818
GS14892	D001522
GS14892	D055694
GS14892	D051379
GS14892	D009714
GS14892	D002455
GS14892	D012439
GS14892	D009474
GS14892	D055694
GS14892	D008810
GS14892	GO:0005634
GS14892	D002453
GS14892	D020411
GS14892	D020133
GS14892	GO:0043739
GS14892	D009435
GS14892	D017557
GS14892	D016133
GS14892	D017557
GS14892	D009538
GS14892	GO:0007049
GS14892	D012321
GS14892	GO:0019226
GS14892	MP:0002555
GS14892	D001921
GS14892	D051379
GS14892	D020869
GS14892	D013812
GS14892	D058028
GS14892	D014158
GS14892	D012107
GS14892	GO:0005623
GS14892	MA:0000217
GS14892	D008809
GS14892	MA:0000887
GS14892	D018076
GS14892	D012194
GS14892	D020411
GS14892	D006624
GS14892	MA:0000168
GS14892	MA:0000191
GS14892	GO:0010467
GS14892	D016133
GS14892	D000679
GS14892	D001921
GS14892	D004326
GS14892	D025341
GS14892	D018076
GS14892	D012718
GS14892	D007062
GS14892	D051379
GS14892	D009714
GS14892	D013045
GS14892	D020869
GS14892	D013812
GS14892	D014024
GS14892	D038081
GS14892	D020411
GS14892	D020133
GS14892	D038081
GS14892	D002477
GS14892	D006624
GS14892	MA:0000168
GS14892	MA:0000191
GS14892	GO:0048513
GS14892	GO:0010467
GS14892	GO:0005634
GS14892	D004247
GS14892	D014867
GS14892	D000200
GS14892	GO:0035094
GS14892	D038081
GS14892	D017397
GS14892	D017397
GS14892	D001921
GS14892	D009538
GS14892	D009538
GS14892	D020869
GS14893	D014024
GS14893	D012439
GS14893	D020133
GS14893	D009435
GS14893	D020133
GS14893	D016133
GS14893	D013045
GS14893	D038081
GS14893	D055694
GS14893	D001921
GS14893	D001921
GS14893	D001522
GS14893	D020869
GS14893	D051379
GS14893	D009474
GS14893	D008810
GS14893	D017557
GS14893	D016133
GS14893	D017557
GS14893	D009714
GS14893	D055694
GS14893	D051379
GS14893	D020869
GS14893	D013812
GS14893	D020411
GS14893	D002453
GS14893	D020411
GS14893	D006624
GS14893	MA:0000168
GS14893	MA:0000191
GS14893	GO:0010467
GS14893	D001921
GS14893	D051379
GS14893	D020869
GS14893	D013812
GS14893	D000679
GS14893	D020411
GS14893	D002455
GS14893	D002477
GS14893	D006624
GS14893	MA:0000168
GS14893	MA:0000191
GS14893	GO:0048513
GS14893	GO:0010467
GS14893	D000818
GS14893	D009714
GS14893	D017397
GS14893	D017397
GS14893	D000200
GS14893	D014867
GS14893	D004247
GS14893	D012718
GS14893	D038081
GS14893	GO:0035094
GS14893	D008809
GS14893	D018076
GS14893	D025341
GS14893	D012194
GS14893	D012107
