geneset	gene
GS1235	24245
GS1235	24329
GS1235	24520
GS1235	24525
GS1235	29482
GS1235	24791
GS1235	29227
GS1235	65162
GS1235	59329
GS1235	84353
GS1235	116663
GS1235	192154
GS1235	83572
GS1235	171136
GS1235	78975
GS1235	64033
GS1235	64561
GS1235	114090
GS1235	114520
GS1235	171137
GS1235	84009
GS1235	260323
GS1235	266759
GS1235	291023
GS1235	287005
GS1235	314553
GS1235	360764
GS1235	296374
GS1235	361845
GS1235	691919
GS135215	25450
GS135215	25451
GS135215	24922
GS135215	24379
GS135215	24380
GS135215	24398
GS135215	29705
GS135215	289606
GS135215	29707
GS135215	58974
GS135215	29709
GS135215	64845
GS135215	83633
GS135215	79212
GS135215	114590
GS135215	81632
GS135215	83612
GS135215	81657
GS135215	60355
GS135215	140675
GS135215	140674
GS135215	79211
GS135215	79213
GS135215	301081
GS135215	315655
GS14885	25287
GS14885	24159
GS14885	24167
GS14885	24242
GS14885	24334
GS14885	25464
GS14885	25700
GS14885	25626
GS14885	24577
GS14885	25497
GS14885	24638
GS14885	25344
GS14885	29192
GS14885	24924
GS14885	29545
GS14885	65160
GS14885	29752
GS14885	29473
GS14885	29423
GS14885	59073
GS14885	29717
GS14885	81780
GS14885	83709
GS14885	83506
GS14885	64511
GS14885	114766
GS14885	83624
GS14885	64196
GS14885	113975
GS14885	81783
GS14885	81785
GS14885	81521
GS14885	81800
GS14885	59324
GS14885	116673
GS14885	64561
GS14885	83529
GS14885	64635
GS14885	54410
GS14885	295230
GS14885	407760
GS14885	299638
GS14885	305935
GS14885	307503
GS14885	363272
GS14885	314711
GS14885	297406
GS14885	298298
GS14885	290370
GS14885	315600
GS14885	301555
GS14885	298381
GS14885	297748
GS14885	303369
GS14885	315423
GS14885	362837
GS14885	291609
GS14885	309969
GS14885	293508
GS14885	303592
GS14885	361096
GS14885	288669
GS14885	295588
GS14885	363469
GS14885	501653
GS14885	309292
GS14914	25368
GS14914	29223
GS14914	25291
GS14914	24239
GS14914	25050
GS14914	25406
GS14914	24936
GS14914	25250
GS14914	25195
GS14914	24422
GS14914	24477
GS14914	24481
GS14914	29596
GS14914	25663
GS14914	24511
GS14914	24518
GS14914	24560
GS14914	24583
GS14914	25745
GS14914	25054
GS14914	24747
GS14914	24737
GS14914	24770
GS14914	24787
GS14914	25358
GS14914	29595
GS14914	58823
GS14914	29709
GS14914	59075
GS14914	29251
GS14914	29647
GS14914	64354
GS14914	65129
GS14914	29717
GS14914	114862
GS14914	29349
GS14914	64532
GS14914	81663
GS14914	65032
GS14914	140669
GS14914	83569
GS14914	170897
GS14914	84586
GS14914	171518
GS14914	192213
GS14914	114481
GS14914	171522
GS14914	81666
GS14914	25485
GS14914	60327
GS14914	114509
GS14914	64199
GS14914	114517
GS14914	171571
GS14914	64803
GS14914	246142
GS14914	140725
GS14914	300115
GS14914	306945
GS14914	363243
GS14914	690894
GS14914	315762
GS14914	310178
GS14914	289287
GS14914	360959
GS14914	314384
GS14914	299012
GS14914	308777
GS14914	363118
GS14914	300721
GS14914	296456
GS14914	304887
GS14914	292794
GS14914	304546
GS14914	362799
GS14914	494500
GS14915	29131
GS14915	24329
GS14915	24409
GS14915	24413
GS14915	24518
GS14915	29627
GS14915	29629
GS14915	54323
GS14915	29628
GS14915	300652
GS14915	114090
GS14915	360681
GS14915	690661
GS14927	81529
GS14927	64120
GS14927	83824
GS14927	252963
GS14927	361791
GS14927	307452
GS14927	314214
GS14927	310745
GS14928	24318
GS14928	24415
GS14928	29606
GS14928	29644
GS14928	29361
GS14928	24864
GS14928	84046
GS14928	117552
GS14928	140722
GS14928	83516
GS14928	171394
GS14928	140926
GS14928	25485
GS14928	81657
GS14928	84386
GS14928	308458
GS14928	316091
GS14928	303008
GS14928	315702
GS14928	306349
GS14928	315218
GS14928	308336
GS14928	293507
GS14928	314457
GS14928	315746
GS14928	316533
GS14928	299269
GS14928	309169
GS14929	24180
GS14929	24186
GS14929	25378
GS14929	24223
GS14929	24888
GS14929	25399
GS14929	24245
GS14929	25050
GS14929	25621
GS14929	24252
GS14929	24255
GS14929	25412
GS14929	25307
GS14929	500892
GS14929	25113
GS14929	24356
GS14929	25450
GS14929	25451
GS14929	24379
GS14929	24957
GS14929	24414
GS14929	25689
GS14929	24511
GS14929	29409
GS14929	29456
GS14929	25489
GS14929	25492
GS14929	25493
GS14929	25497
GS14929	25499
