geneset	term
GS716	D001921
GS716	D008722
GS716	MA:0000905
GS716	D020296
GS716	D002874
GS716	D004195
GS716	D019973
GS716	D009714
GS716	D000679
GS716	D000679
GS716	MA:0000887
GS716	D000818
GS716	D020296
GS716	D011209
GS716	MA:0000887
GS716	D051381
GS716	D016133
GS716	D017208
GS716	D016133
GS716	D005819
GS716	D010641
GS716	D000428
GS716	D002894
GS716	MP:0001987
GS716	MP:0001987
GS716	D020869
GS716	D007062
GS716	D046228
GS716	D012313
GS716	GO:0005634
GS716	D051381
GS716	D001921
GS716	D000818
GS716	D002875
GS716	D040641
GS716	D000428
GS716	D051381
GS716	D006624
GS716	MA:0000168
GS716	MA:0000191
GS716	GO:0005694
GS716	GO:0010467
GS716	D005838
GS716	D040641
GS716	D017770
GS717	D016133
GS717	D005838
GS717	MP:0001987
GS717	D001921
GS717	D020296
GS717	D000428
GS717	D009714
GS717	D051381
GS717	D020869
GS717	D000679
GS717	D007062
GS717	D007062
GS717	D006624
GS717	MA:0000168
GS717	GO:0005634
GS717	D012313
GS717	D051381
GS717	D046228
GS717	D000818
GS717	D005819
GS717	D001921
GS717	MA:0000191
GS717	GO:0005694
GS717	D016133
GS717	MA:0000887
GS717	GO:0010467
GS717	D011209
GS717	MA:0000191
GS717	D000818
GS717	D010641
GS717	MP:0001987
GS717	D006624
GS717	D002875
GS717	D051381
GS717	D020296
GS717	D000428
GS717	D017770
GS717	D004195
GS717	D040641
GS717	D002874
GS717	D040641
GS717	D019973
GS717	MA:0000905
GS717	D008722
GS717	D017208
GS717	D002894
GS718	MA:0000905
GS718	D000818
GS718	D017208
GS718	D005819
GS718	D051381
GS718	D010641
GS718	D016133
GS718	MA:0000887
GS718	D000428
GS718	D011209
GS718	D002894
GS718	D007062
GS718	D007062
GS718	MP:0001987
GS718	D020869
GS718	D016133
GS718	GO:0005634
GS718	D020296
GS718	D046228
GS718	D012313
GS718	D005838
GS718	D051381
GS718	D001921
GS718	D000818
GS718	D002875
GS718	D040641
GS718	D000428
GS718	D051381
GS718	D001921
GS718	D006624
GS718	D008722
GS718	MA:0000168
GS718	MA:0000905
GS718	D000679
GS718	D019973
GS718	D040641
GS718	MA:0000191
GS718	GO:0005694
GS718	D002874
GS718	D017770
GS718	D004195
GS718	GO:0010467
GS718	D020296
GS718	MP:0001987
GS718	D009714
GS719	D051381
GS719	D004195
GS719	D005819
GS719	D001921
GS719	MP:0001987
GS719	D002894
GS719	D000818
GS719	D008722
GS719	D009714
GS719	D011209
GS719	GO:0005634
GS719	D000428
GS719	MA:0000905
GS719	D019973
GS719	D000679
GS719	D009714
GS719	D007062
GS719	D016133
GS719	D017208
GS719	D007062
GS719	D012313
GS719	D020296
GS719	D020869
GS719	MP:0001987
GS719	D005838
GS719	D016133
GS719	D020296
GS719	GO:0005634
GS719	D046228
GS719	D051381
GS719	D001921
GS719	D000818
GS719	D002875
GS719	D040641
GS719	D000428
GS719	D051381
GS719	D006624
GS719	MA:0000168
GS719	MA:0000191
GS719	GO:0005694
GS719	GO:0010467
GS719	MA:0000887
GS719	D010641
GS719	D002874
GS719	D040641
GS719	D017770
GS720	GO:0010467
GS720	D016133
GS720	D017208
GS720	GO:0005634
GS720	D005838
GS720	D017770
GS720	D000679
GS720	D000818
GS720	D020296
GS720	D051381
GS720	D020296
GS720	D009714
GS720	D005819
GS720	D010641
GS720	D000428
GS720	D002894
GS720	D007062
GS720	D007062
GS720	D012313
GS720	D051381
GS720	MA:0000891
GS720	D001921
GS720	D000818
GS720	D002875
GS720	D040641
GS720	D000428
GS720	D051381
GS720	D006624
GS720	MA:0000168
GS720	MA:0000191
GS720	GO:0005694
GS720	D040641
GS720	D002874
GS720	D004195
GS720	D019973
GS720	MA:0000905
GS720	D008722
GS720	D001921
GS720	D046228
GS720	D020869
GS720	MP:0001987
GS720	MP:0001987
GS720	D011209
GS720	MA:0000887
GS720	D016133
GS1235	D020411
GS1235	D051381
GS1235	D012380
GS1235	D013812
GS1235	D014158
GS1235	MA:0000905
GS1235	D003863
GS1235	MA:0000905
GS1235	MP:0002555
GS1235	D015203
GS1235	D020133
GS1235	D046228
GS1235	D019966
GS1235	D000818
GS1235	GO:0010467
GS1235	GO:0016787
GS1235	D009934
GS1235	D051381
GS1235	D013812
GS1235	MA:0000167
GS1235	D002540
GS1235	D023421
GS1235	MP:0008912
GS1235	D017208
GS1235	MA:0000016
GS1235	D017470
GS1235	D004827
GS1235	D020935
GS1235	D053263
GS1235	D018698
GS1235	D000818
GS1235	D007274
GS1235	D020869
GS1235	D004734
GS1235	D019966
GS1235	D018094
GS1235	D006867
GS1235	D018094
GS1235	D002490
GS1235	D017208
GS1235	GO:0023052
GS1235	D000437
GS1235	D055694
GS1235	D016000
GS1235	GO:0006754
GS1235	D013844
GS1235	GO:0009058
GS1235	D000255
GS1235	D051381
GS1235	D017208
GS1235	D016133
GS1235	D018076
GS1235	D010300
GS1235	D011725
GS1235	D000255
GS1235	GO:0010467
GS1235	D001007
GS1235	D020411
GS1235	D018691
GS1235	D009934
GS1235	D009420
GS1235	D011494
GS1235	D010770
GS1235	D013672
GS14885	D000818
GS14885	D000375
GS14885	D018507
GS14885	D020411
GS14885	D051381
GS14885	D001921
GS14885	D051381
GS14885	D020411
GS14885	D006624
