term	gene
GO:0005829	2645
GO:0005829	3099
GO:0008637	3099
GO:0005741	3099
GO:0045766	3099
GO:0005813	3099
GO:0016020	3099
GO:0043231	3099
GO:0072655	3099
GO:0051156	3099
GO:0005739	3099
GO:1904925	3099
GO:0004340	3099
GO:0072656	3099
GO:0005515	3099
GO:0004396	3099
GO:0005829	2821
GO:0004347	2821
GO:0016020	2821
GO:0005886	2821
GO:0051156	2821
GO:0031625	2821
GO:0010595	2821
GO:0070062	2821
GO:0005515	2821
GO:0002639	2821
GO:0005654	2821
GO:0004614	5236
GO:0006006	5236
GO:0000287	5236
GO:0070062	5236
GO:0005515	5236
GO:0005829	55276
GO:0004614	55276
GO:0008973	55276
GO:0070062	55276
GO:0005515	55276
GO:0047933	55276
GO:0016208	2203
GO:0045820	2203
GO:0071286	2203
GO:0042802	2203
GO:0005634	2203
GO:0006094	2203
GO:0046872	2203
GO:0000122	2203
GO:0046580	2203
GO:0042132	2203
GO:0016311	2203
GO:0006111	2203
GO:0005515	2203
GO:0071466	2203
GO:0061629	2203
GO:0030308	2203
GO:0006002	2203
GO:0070062	2203
GO:0005737	2203
GO:0005829	8789
GO:0005886	8789
GO:0070062	8789
GO:0005515	8789
GO:0042802	8789
GO:0005634	5214
GO:0016020	5214
GO:0044877	5214
GO:0045296	5214
GO:0070062	5214
GO:0005515	5214
GO:0005737	5214
GO:0005829	226
GO:0005829	2597
GO:0043231	2597
GO:0031965	2597
GO:0005886	2597
GO:0097228	441531
GO:0006096	441531
GO:0070062	441531
GO:0004619	441531
GO:0005634	5224
GO:0006096	5224
GO:0070062	5224
GO:0005515	5224
GO:0042802	5224
GO:0006941	5224
GO:0004619	5224
GO:0005829	2023
GO:0005886	2023
GO:0005829	2026
GO:0005886	2026
GO:0005515	2026
GO:0005829	2027
GO:0016020	2027
GO:0005615	2027
GO:0070062	2027
GO:0005886	2027
GO:0005730	5160
GO:0005739	5160
GO:0005634	5161
GO:0004739	5161
GO:0006090	5161
GO:0005739	5161
GO:0005515	5161
GO:0005730	5161
GO:0005739	5162
GO:0005654	5162
GO:0043231	1737
GO:0005739	1737
GO:0005829	219
GO:0005739	219
GO:0005654	219
GO:0051289	223
GO:0006081	223
GO:0004029	223
GO:0042136	223
GO:0070062	223
GO:0047105	223
GO:0019145	223
GO:0008544	224
GO:0052814	224
GO:0006081	224
GO:0004029	224
GO:0043231	224
GO:0042803	224
GO:0046458	224
GO:0007417	224
GO:0033306	224
GO:0046577	224
GO:0050061	224
GO:0005515	224
GO:0007422	224
GO:0005829	501
GO:0004029	501
GO:0005739	501
GO:0008802	501
GO:0070062	501
GO:0005515	501
GO:0042802	501
GO:0070062	5313
GO:0005515	5313
GO:0005829	5315
GO:0005515	5315
GO:0005737	160287
GO:0004459	160287
GO:0070062	160287
GO:0005829	3945
GO:0042593	2538
GO:0006094	2538
GO:0016021	2538
GO:0005515	2538
GO:0004346	2538
GO:0042301	2538
GO:0004346	57818
GO:0042593	57818
GO:0050796	57818
GO:0004346	92579
GO:0005783	92579
GO:0016020	92579
GO:0005829	5105
GO:0005783	5105
GO:0046890	5105
GO:0006107	5105
GO:0032868	5105
GO:0006094	5105
GO:0030145	5105
GO:0071333	5105
GO:0006006	5105
GO:0031406	5105
GO:0018105	5105
GO:0032869	5105
GO:0000287	5105
GO:0070062	5105
GO:0005525	5105
GO:0106264	5105
GO:0004613	5105
GO:0005739	5106
GO:0005759	84532
GO:0003987	84532
GO:0006085	84532
GO:0005515	84532
GO:0016020	83440
GO:0005783	83440
GO:0006006	83440
GO:0043843	83440
GO:0034417	9562
GO:0070062	9562
GO:0005515	9562
GO:0005739	5091
GO:0005829	4190
GO:0005813	4190
GO:0005829	47
GO:0005654	47
GO:0005739	1431
GO:0005739	2271
GO:0005730	6389
GO:0005739	6389
GO:0005739	6390
GO:0005654	6390
GO:0005886	6390
GO:0005515	6390
GO:0005739	8801
GO:0045244	8801
GO:0005886	8801
GO:0005515	8801
GO:0005515	8802
GO:0045244	8802
GO:0003723	8802
GO:0005829	1743
GO:0005739	1743
GO:0005654	1743
GO:0005759	55753
GO:0005515	55753
GO:0005962	3419
GO:0005634	3419
GO:0006099	3419
GO:0005739	3419
GO:0000287	3419
GO:0005515	3419
GO:0004449	3419
GO:0005739	3420
GO:0005634	3420
GO:0005962	3420
GO:0006099	3420
GO:0005962	3421
GO:0006099	3421
GO:0005739	3421
GO:0000287	3421
GO:0005515	3421
GO:0005730	3421
GO:0005506	50
GO:0006099	50
GO:0005739	50
GO:0006101	50
GO:0003994	50
GO:0005739	3418
GO:0070062	3418
GO:0004450	3418
GO:0009051	5226
GO:0070062	5226
GO:0005634	5226
GO:0042803	6120
GO:0046872	6120
GO:0005975	6120
GO:0004750	6120
GO:0005515	6120
GO:0070062	6120
GO:0042802	6120
GO:0006098	6120
GO:0005515	22934
GO:0004751	22934
GO:0042802	22934
GO:0016604	7086
GO:0005654	7086
GO:0005829	8277
GO:0005515	64080
GO:0042802	64080
GO:0005524	5631
GO:0007399	5631
GO:0004749	5631
GO:0042803	5631
GO:0006164	5631
GO:0046101	5631
GO:0034418	5631
GO:0005515	5631
GO:0042802	5631
GO:0006144	5631
GO:0005515	5634
GO:0042802	5634
GO:0004139	51071
GO:0005654	51071
GO:0046121	51071
GO:0005515	51071
GO:0005829	132158
GO:0005794	132158
GO:2000064	9563
GO:0009051	9563
GO:0004345	9563
GO:0005788	9563
GO:0005829	2539
GO:0043231	2539
GO:0034451	2539
GO:0019904	2990
GO:0016020	2990
GO:0043231	2990
GO:0005102	2990
GO:0005615	2990
GO:0070062	2990
GO:0017134	9365
GO:0070062	9365
GO:0007568	9365
GO:0030501	9365
GO:0052697	10720
GO:0015020	10720
GO:0008210	10720
GO:0005515	10720
GO:0052695	10941
GO:0015020	10941
GO:0008206	10941
GO:0007606	10941
GO:0052697	54490
GO:0005783	54490
GO:0005640	54490
GO:0015020	54490
GO:0008202	54490
GO:0043231	54578
GO:0005783	54578
GO:0005783	54657
GO:0052695	54657
GO:0042803	54657
GO:0070640	54657
GO:0019899	54657
GO:0015020	54657
GO:0001972	54657
GO:0052695	574537
GO:0015020	574537
GO:0008206	574537
GO:0052695	7363
GO:0015020	7363
GO:0001972	7363
GO:0008210	7363
GO:0052695	7364
GO:0008210	7364
GO:0008209	7364
GO:0015020	7364
GO:0001972	7364
GO:0015020	7365
GO:0052695	7366
GO:0015020	7366
GO:0001972	7366
GO:0008210	7366
GO:0052695	7367
GO:0015020	7367
GO:0001972	7367
GO:0008210	7367
GO:0052695	79799
GO:0015020	79799
GO:0007420	7360
GO:0005634	7360
GO:0003983	7360
GO:0005978	7360
GO:0070062	7360
GO:0006011	7360
GO:0005515	7360
GO:0042802	7360
GO:0048666	7358
GO:0070062	7358
GO:0006065	7358
GO:0042802	7358
GO:0034214	7358
GO:0003979	7358
GO:0005654	7358
GO:0005829	231
GO:0005654	231
GO:0044597	57016
GO:0016488	57016
GO:0001758	57016
GO:0005576	57016
GO:0008106	57016
GO:0044598	57016
GO:0047718	57016
GO:0001523	57016
GO:0005764	57016
GO:0005515	57016
GO:0052650	57016
GO:0110095	57016
GO:0045550	57016
GO:0051287	6652
GO:0016020	6652
GO:0046370	6652
GO:0008270	6652
GO:0003939	6652
GO:0070062	6652
GO:0051160	6652
GO:0042802	6652
GO:0051164	6652
GO:0006062	6652
GO:0006003	5207
GO:0043540	5207
GO:0004331	5207
GO:0005515	5207
GO:0042802	5207
GO:0003873	5208
GO:0006096	5208
GO:0019901	5208
GO:0005515	5208
GO:0005654	5208
GO:0003873	5209
GO:0005654	5209
GO:0005515	5209
GO:0005515	5210
GO:0005829	57103
GO:0005741	57103
GO:0045739	57103
GO:0030388	57103
GO:0005634	57103
GO:0006003	57103
GO:0071279	57103
GO:0006974	57103
GO:0043456	57103
GO:0071456	57103
GO:0004331	57103
GO:1902153	57103
GO:1903301	57103
GO:0005515	57103
GO:0004083	57103
GO:0005737	57103
GO:0043069	57103
GO:0070062	4351
GO:0005829	5372
GO:0008446	2762
GO:0019673	2762
GO:0070401	2762
GO:0005515	2762
GO:0070062	2762
GO:0042802	2762
GO:0042351	2762
GO:0005990	3938
GO:0140749	3938
GO:0042803	3938
GO:0000016	3938
GO:0098591	3938
GO:0008422	3938
GO:2000892	3938
GO:1901733	3938
GO:0015926	3938
GO:0005794	2720
GO:0043231	2720
GO:0042803	2720
GO:0044262	2720
GO:0070062	2720
GO:0004565	2720
GO:0005515	2720
GO:0005737	2720
GO:0003831	2683
GO:0003945	2683
GO:0005794	2683
GO:0030145	2683
GO:0016020	2683
GO:0016323	2683
GO:0031526	2683
GO:0006487	2683
GO:0009897	2683
GO:0000138	2683
GO:0005615	2683
GO:0070062	2683
GO:0004461	2683
GO:0030057	2683
GO:0035250	2683
GO:0009312	2683
GO:0043231	8704
GO:0005794	8704
GO:0005654	8704
GO:0003979	7358
GO:0048666	7358
GO:0006065	7358
GO:0034214	7358
GO:0005654	7358
GO:0042802	7358
GO:0070062	7358
GO:0050113	55586
GO:0008199	55586
GO:0019310	55586
GO:0005515	10720
GO:0052697	10720
GO:0008210	10720
GO:0015020	10720
GO:0007606	10941
GO:0008206	10941
GO:0052695	10941
GO:0015020	10941
GO:0052697	54490
GO:0015020	54490
GO:0005640	54490
GO:0008202	54490
GO:0005783	54490
GO:0005783	54578
GO:0043231	54578
GO:0070640	54657
GO:0019899	54657
GO:0042803	54657
GO:0015020	54657
GO:0001972	54657
GO:0005783	54657
GO:0052695	54657
GO:0008206	574537
GO:0052695	574537
GO:0015020	574537
GO:0001972	7363
GO:0052695	7363
GO:0008210	7363
GO:0015020	7363
GO:0008210	7364
GO:0015020	7364
GO:0001972	7364
GO:0052695	7364
GO:0008209	7364
GO:0001972	7366
GO:0052695	7366
GO:0008210	7366
GO:0015020	7366
GO:0001972	7367
GO:0052695	7367
GO:0008210	7367
GO:0015020	7367
GO:0005829	2194
GO:0005794	2194
GO:0016020	2194
GO:0005886	2194
GO:0003723	2194
GO:0070062	2194
GO:0045296	2194
GO:0005515	2194
GO:0001649	2194
GO:0006633	27349
GO:0004312	27349
GO:0004314	27349
GO:0003723	27349
GO:0005739	27349
GO:0005829	54995
GO:0004315	54995
GO:0051792	54995
GO:0005739	54995
GO:0006637	54995
GO:0051790	54995
GO:0016296	55301
GO:0047381	55301
GO:0051792	55301
GO:0016295	55301
GO:0005829	31
GO:0001650	31
GO:0003989	31
GO:0005515	31
GO:0015629	31
GO:0042802	31
GO:0051289	32
GO:0006084	32
GO:0005634	32
GO:0003989	32
GO:0005739	32
GO:0005515	32
GO:0042802	32
GO:0031957	2182
GO:0001676	2182
GO:0044233	2182
GO:0016020	2182
GO:0070062	2182
GO:0047676	2182
GO:0006629	2182
GO:0005737	2182
GO:0005811	2182
GO:0004467	2182
GO:0005783	51703
GO:0001676	51703
GO:0016020	51703
GO:0005886	51703
GO:0005739	51703
GO:0005515	51703
GO:0005730	51703
GO:0004467	51703
GO:0005654	51703
GO:0005829	81616
GO:0006633	197322
GO:0031957	197322
GO:0006631	197322
GO:0090410	197322
GO:0005739	197322
GO:0016878	197322
GO:0005515	197322
GO:0090409	197322
GO:0005654	197322
GO:0005730	109703458
GO:0005739	109703458
GO:0005739	51102
GO:0006631	51102
GO:0019166	51102
GO:0051289	84869
GO:0006633	84869
GO:0003955	84869
GO:0004316	84869
GO:0048038	84869
GO:0044598	84869
GO:0005759	84869
GO:0051290	84869
GO:0070402	84869
GO:0005515	84869
GO:1990204	84869
GO:0008753	84869
GO:0044597	84869
GO:0005739	3033
GO:0005654	3033
GO:0005739	3030
GO:0006635	1892
GO:0004300	1892
GO:0005739	1892
GO:0005515	1892
GO:0005741	3032
GO:0005783	3032
GO:0003723	3032
GO:0005739	3032
GO:0005743	3032
GO:0042645	3032
GO:0005515	3032
GO:0006635	3032
GO:0016507	3032
GO:0006898	5538
GO:0043524	5538
GO:0043066	5538
GO:0016290	5538
GO:0007399	5538
GO:0043231	5538
GO:0005576	5538
GO:0031579	5538
GO:0048549	5538
GO:0002084	5538
GO:0048260	5538
GO:0005634	5538
GO:0005764	5538
GO:0007042	5538
GO:0015031	5538
GO:0045121	5538
GO:0005515	5538
GO:0008021	5538
GO:0008474	5538
GO:0005794	5538
GO:0006907	5538
GO:0016020	5538
GO:0007420	5538
GO:0030308	5538
GO:0030424	5538
GO:0035727	5538
GO:0070062	5538
GO:0120146	5538
GO:0016042	5538
GO:0043231	9374
GO:0009923	51144
GO:0016509	51144
GO:0050062	51144
GO:0005515	51144
GO:0080023	201562
GO:0005783	201562
GO:0018812	201562
GO:0019899	201562
GO:0030497	201562
GO:0005515	201562
GO:0042761	201562
GO:0030148	201562
GO:0004725	201562
GO:0005783	401494
GO:0018812	401494
GO:0019899	401494
GO:0030497	401494
GO:0005515	401494
GO:0042761	401494
GO:0005783	51495
GO:0005925	51495
GO:0018812	51495
GO:0045070	51495
GO:0046726	51495
GO:0031965	51495
GO:0005515	51495
GO:0019899	51495
GO:0042761	51495
GO:0030497	51495
GO:0080023	9200
GO:0005515	9200
GO:0005783	9524
GO:0005634	9524
GO:0030176	9524
GO:0030497	9524
GO:0005515	9524
GO:0042761	9524
GO:0006665	9524
GO:0102758	9524
GO:0047617	10965
GO:0001676	10965
GO:0005739	10965
GO:0005515	10965
GO:0000038	10965
GO:0006637	10965
GO:0005829	11332
GO:0016290	11332
GO:0042803	11332
GO:1900535	11332
GO:0000062	11332
GO:0015937	11332
GO:0036114	11332
GO:0036116	11332
GO:0070062	11332
GO:0005515	11332
GO:0036042	11332
GO:0051792	11332
GO:0005654	11332
GO:0043649	122970
GO:0047617	122970
GO:0005777	122970
GO:0001676	122970
GO:0043648	122970
GO:0019605	122970
GO:0006104	122970
GO:0032788	122970
GO:0004778	122970
GO:0032789	122970
GO:0046459	122970
GO:0000038	122970
GO:0006637	122970
GO:0005515	284486
GO:0016290	284486
GO:0035336	284486
GO:0005759	284486
GO:0005739	38
GO:0003985	39
GO:0005737	39
GO:0070062	39
GO:0005515	39
GO:0004300	1962
GO:0005777	1962
GO:0016509	1962
GO:0019899	1962
GO:0005515	1962
GO:0006635	1962
GO:0003857	1962
GO:0005739	35
GO:0005654	35
GO:0005813	35
GO:0005739	34
GO:0005777	30
GO:0005515	33
GO:0005829	124
GO:0004022	124
GO:0006066	124
GO:0005886	124
GO:0005515	124
GO:0004024	124
GO:0005654	124
GO:0005829	125
GO:0005654	125
GO:0005886	125
GO:0005829	126
GO:0004022	126
GO:0006069	126
GO:0005886	126
GO:0005654	126
GO:0005829	131
GO:0048019	131
GO:0006069	131
GO:0019841	131
GO:0045471	131
GO:0004024	131
GO:0004031	131
GO:0004745	131
GO:0001523	131
GO:0005886	131
GO:0035276	131
GO:0010430	131
GO:0009617	131
GO:0005739	2639
GO:0005730	1376
GO:0005739	1376
GO:0005654	1376
GO:0031966	37
GO:0003995	37
GO:0042802	37
GO:0033539	37
GO:0031314	37
GO:0050660	37
GO:0005739	37
GO:0030855	37
GO:0042645	37
GO:0005515	37
GO:0005730	37
GO:0017099	37
GO:0004466	37
GO:0005654	37
GO:0005739	36
GO:0005783	1595
GO:0016020	1595
GO:0006694	1595
GO:0020037	1595
GO:0008398	1595
GO:0043231	7108
GO:0005783	7108
GO:0005783	1718
GO:0042605	1718
GO:0043066	1718
GO:0000246	1718
GO:0016628	1718
GO:0050614	1718
GO:0005634	1718
GO:0016020	1718
GO:0033489	1718
GO:0006695	1718
GO:0005515	1718
GO:0019899	1718
GO:0009888	1718
GO:0006979	1718
GO:0043154	1718
GO:0005783	1717
GO:0070087	3930
GO:0005634	3930
GO:0016020	3930
GO:0031965	3930
GO:0003723	3930
GO:0005789	3930
GO:0006695	3930
GO:0016021	3930
GO:0005515	3930
GO:0070402	3930
GO:0005737	3930
GO:0050613	3930
GO:0005783	50814
GO:0005811	50814
GO:0005783	10682
GO:0043627	1594
GO:0070564	1594
GO:0034341	1594
GO:0036378	1594
GO:0004498	1594
GO:0045618	1594
GO:0033280	1594
GO:0030282	1594
GO:0010956	1594
GO:0030500	1594
GO:0010980	1594
GO:0008285	1594
GO:0042359	1594
GO:0062185	1594
GO:0055074	1594
GO:0030308	1594
GO:0032496	1594
GO:0046697	1594
GO:0070314	1594
GO:0005737	1594
GO:0005783	1056
GO:0005794	1056
GO:0005515	1056
GO:0005829	3988
GO:0043231	3988
GO:0001650	3988
GO:0004771	3988
GO:0016298	3988
GO:0005654	3988
GO:0005783	6646
GO:0042986	6646
GO:0034379	6646
GO:0034435	6646
GO:0015485	6646
GO:0016020	6646
GO:0034736	6646
GO:0004772	6646
GO:0005789	6646
GO:0000062	6646
GO:0010878	6646
GO:0005515	6646
GO:0010742	6646
GO:0008203	6646
GO:0033344	6646
GO:0005783	8435
GO:0034435	8435
GO:0034379	8435
GO:0015485	8435
GO:0005903	8435
GO:0034736	8435
GO:0004772	8435
GO:0005789	8435
GO:0000062	8435
GO:0005515	8435
GO:0008203	8435
GO:0033344	8435
GO:0005506	120227
GO:0042803	120227
GO:1902271	120227
GO:0020037	120227
GO:0036378	120227
GO:0030343	120227
GO:0005783	2222
GO:0005515	6307
GO:0001567	9023
GO:0034340	9023
GO:0005515	9023
GO:0008203	9023
GO:1903914	9023
GO:0006707	10858
GO:0006805	10858
GO:0033781	10858
GO:0042448	10858
GO:0008395	10858
GO:0020037	10858
GO:0006707	1593
GO:0031073	1593
GO:0006699	1593
GO:0020037	1593
GO:0047749	1593
GO:0036378	1593
GO:0030343	1593
GO:0006699	1581
GO:0008123	1581
GO:0070857	1581
GO:0071333	1581
GO:0005811	80270
GO:0005515	80270
GO:0005829	6718
GO:0006707	6718
GO:0006699	6718
GO:0007586	6718
GO:0008207	6718
GO:0008209	6718
GO:0071395	1109
GO:0001758	1109
GO:0044598	1109
GO:0070062	1109
GO:0047743	1109
GO:0047023	1109
GO:0016655	1109
GO:0044597	1109
GO:0005783	10998
GO:0047747	10998
GO:0031957	10998
GO:0006699	10998
GO:0005324	10998
GO:0030176	10998
GO:0005515	10998
GO:0000038	10998
GO:0005777	23600
GO:0043231	23600
GO:0005739	23600
GO:0008206	23600
GO:0005886	23600
GO:0008111	23600
GO:0005737	23600
GO:0005829	8309
GO:0005777	8309
GO:1902884	8309
GO:0043231	8309
GO:0010942	8309
GO:0033791	8309
GO:0005515	8309
GO:0033540	8309
GO:0005829	570
GO:0047963	570
GO:0005777	570
GO:0002152	570
GO:0052817	570
GO:0006699	570
GO:0016410	570
GO:0052816	570
GO:0005515	570
GO:0019530	570
GO:0006544	570
GO:0052815	570
GO:0006637	570
GO:0005782	10005
GO:0043649	10005
GO:0047617	10005
GO:0016290	10005
GO:0016559	10005
GO:0052816	10005
GO:0005515	10005
GO:0045225	10005
GO:0052815	10005
GO:0006637	10005
GO:0003868	3242
GO:0006572	3242
GO:0070062	3242
GO:0042803	3242
GO:0032259	84274
GO:0043333	84274
GO:0032991	84274
GO:0110142	84274
GO:0005759	84274
GO:0005743	84274
GO:0006744	84274
GO:0005515	84274
GO:0110142	51805
GO:0008171	51805
GO:0005739	51805
GO:0005743	51805
GO:0006744	51805
GO:0005515	51805
GO:0006071	51805
GO:0005743	10229
GO:0005515	10229
GO:0110142	10229
GO:0005634	10229
GO:0006743	1728
GO:0005829	1728
GO:0006979	1728
GO:0034599	1728
GO:0045454	1728
GO:0050136	1728
GO:0003723	1728
GO:0019430	1728
GO:0042360	1728
GO:0005515	1728
GO:0042802	1728
GO:1903363	1728
GO:0042373	1728
GO:0005783	79001
GO:0005743	51004
GO:0005739	51004
GO:0110142	51004
GO:0005515	51004
GO:0008484	412
GO:0005829	6820
GO:0050294	6820
GO:0043231	6820
GO:0015485	6820
GO:0008202	6820
GO:0045606	6820
GO:0003676	6820
GO:1990239	6820
GO:0050427	6820
GO:0070062	6820
GO:0005515	6820
GO:0008203	6820
GO:0008285	6820
GO:0005515	1589
GO:0005783	3283
GO:0045171	3283
GO:0005743	3283
GO:0005515	3283
GO:0005730	3283
GO:0005758	3283
GO:0005730	3284
GO:0005783	3284
GO:0045171	3284
GO:0003865	6715
GO:0008584	6716
GO:0009917	6716
GO:0061370	6716
GO:0005515	6716
GO:0008209	6716
GO:0030283	6716
GO:0005783	79644
GO:0003865	79644
GO:0019348	79644
GO:0016095	79644
GO:0006488	79644
GO:0016628	79644
GO:0004507	1585
GO:0002017	1585
GO:0035865	1585
GO:0005739	1585
GO:0006700	1585
GO:0055078	1585
GO:0032870	1585
GO:0032342	1585
GO:0020037	1585
GO:0055075	1585
GO:0034651	1585
GO:0043231	374875
GO:0005654	374875
GO:0047086	1645
GO:0071395	1645
GO:2000379	1645
GO:0046683	1645
GO:0044597	1645
GO:0005829	1645
GO:0042448	1645
GO:0007586	1645
GO:0030855	1645
GO:0018636	1645
GO:0042574	1645
GO:0031406	1645
GO:0044598	1645
GO:0047042	1645
GO:0005515	1645
GO:0016655	1645
GO:0004032	1645
GO:0047115	1645
GO:0032052	1645
GO:0070062	1645
GO:0008206	1645
GO:0047086	1646
GO:0071395	1646
GO:0007186	1646
GO:0006693	1646
GO:0044597	1646
GO:0042448	1646
GO:0007586	1646
GO:0030855	1646
GO:0018636	1646
GO:0008202	1646
GO:0031406	1646
GO:0008284	1646
GO:0051897	1646
GO:0044598	1646
GO:0071799	1646
GO:0016655	1646
GO:0004032	1646
