term	gene
GO:1990830	15277
GO:0004396	15277
GO:0046835	15277
GO:0008637	15277
GO:0035795	15277
GO:0005739	15277
GO:2000378	15277
GO:0006006	15277
GO:0046324	15277
GO:0005739	212032
GO:0001678	216019
GO:0001701	14751
GO:0005615	14751
GO:0043209	14751
GO:0005829	14751
GO:0004347	14751
GO:0060170	14751
GO:0005886	14751
GO:0042593	14751
GO:0034101	14751
GO:0005515	14751
GO:0001707	14751
GO:0006096	14751
GO:0004614	66681
GO:0006006	66681
GO:0046676	18641
GO:0061615	18641
GO:0005829	18641
GO:0003872	18641
GO:0009749	18641
GO:0006002	18641
GO:0097228	18642
GO:0061615	18642
GO:0005829	18642
GO:0093001	18642
GO:0003872	18642
GO:0061621	18642
GO:0005980	18642
GO:0042593	18642
GO:0032024	18642
GO:0008443	18642
GO:0042802	18642
GO:0005739	11676
GO:0035686	353204
GO:0005829	21991
GO:0004807	21991
GO:0019682	21991
GO:0005515	21991
GO:0061621	21991
GO:0016853	21991
GO:0006006	21991
GO:0061621	13808
GO:0005829	13808
GO:0004634	13808
GO:0034604	18598
GO:0005739	18598
GO:0005739	68263
GO:0043209	235339
GO:0005739	235339
GO:0005739	110695
GO:0004029	11671
GO:0005743	11671
GO:0005739	11671
GO:0016021	11671
GO:0005783	11671
GO:0005739	72535
GO:0005811	621603
GO:0004029	621603
GO:0004029	73458
GO:0005737	73458
GO:0005886	73458
GO:0043209	18746
GO:0005829	18746
GO:0005929	18746
GO:0062023	18746
GO:0003729	18746
GO:0004743	18746
GO:0005739	18746
GO:0005515	18746
GO:2000767	18746
GO:0061621	18746
GO:0005791	18746
GO:0006096	18746
GO:0005739	106557
GO:0004459	16832
GO:0043209	16832
GO:0005739	16832
GO:0035264	14377
GO:0005977	14377
GO:0046415	14377
GO:0016773	14377
GO:0008202	14377
GO:0006641	14377
GO:0015760	14377
GO:0051156	14377
GO:0005980	14377
GO:0042593	14377
GO:0042632	14377
GO:0004346	14377
GO:0010468	14377
GO:0005783	14377
GO:0005783	14378
GO:0004346	14378
GO:0005783	68401
GO:0004346	68401
GO:0015760	68401
GO:0004618	18655
GO:0061621	18655
GO:0005515	18655
GO:0006096	18655
GO:0005929	18663
GO:0035686	18663
GO:0004618	18663
GO:0030317	18663
GO:0006096	18663
GO:0004611	18534
GO:0005829	18534
GO:0006107	18534
GO:0009617	18534
GO:0061402	18534
GO:0006094	18534
GO:0051365	18534
GO:0006629	18534
GO:0043382	18534
GO:0004613	18534
GO:0046327	18534
GO:0050218	60525
GO:0003987	60525
GO:0006085	60525
GO:0005737	60525
GO:0043209	17448
GO:0005743	17448
GO:0030060	17448
GO:0016020	17448
GO:0005739	17448
GO:0043209	17449
GO:0005739	17449
GO:0003878	104112
GO:0005515	104112
GO:0005739	104112
GO:0046912	12974
GO:0005759	12974
GO:0005739	12974
GO:0005739	71832
GO:0048873	14194
GO:0120162	14194
GO:0005739	14194
GO:0005739	66052
GO:0071456	66925
GO:0005739	66925
GO:0050433	66925
GO:0008177	66925
GO:0005743	66945
GO:0043209	66945
GO:0005739	66945
GO:0005749	67680
GO:0005743	67680
GO:0005739	67680
GO:0045273	67680
GO:0043209	20916
GO:0005739	20916
GO:0005739	20917
GO:0005743	56451
GO:0005739	56451
GO:0043209	78920
GO:0005739	78920
GO:0005515	78920
GO:0042391	13382
GO:0043209	13382
GO:0005929	13382
GO:0006120	13382
GO:0007369	13382
GO:0005739	13382
GO:0005515	13382
GO:0004148	13382
GO:0043159	13382
GO:0048240	13382
GO:0006508	13382
GO:0022028	18293
GO:0021766	18293
GO:0034602	18293
GO:0021695	18293
GO:0021756	18293
GO:0021860	18293
GO:0005739	18293
GO:0021794	18293
GO:0061034	18293
GO:0005739	243996
GO:0043209	67834
GO:0005739	67834
GO:0005829	11428
GO:0003994	11428
GO:0005739	11428
GO:0010468	11428
GO:0009791	11428
GO:0006879	11428
GO:0030350	11428
GO:0050892	11428
GO:0006417	11428
GO:0005737	11428
GO:0003994	11429
GO:0043209	11429
GO:0005739	11429
GO:0006979	15926
GO:0005829	15926
GO:0004450	15926
GO:0071071	15926
GO:0006749	15926
GO:0005739	15926
GO:0004448	15926
GO:0060696	15926
GO:0005829	269951
GO:0004450	269951
GO:0005777	269951
GO:0005743	269951
GO:0005739	269951
GO:0004448	269951
GO:0004616	110208
GO:0019322	110208
GO:0004751	19895
GO:0004802	21881
