term	gene
GO:0032991	25058
GO:0001666	25058
GO:0018108	25058
GO:0006002	25058
GO:0006013	25058
GO:1901986	25058
GO:0018107	25058
GO:0005536	25058
GO:0005515	25058
GO:0051156	25058
GO:0008865	25058
GO:0005901	25058
GO:0004672	25058
GO:0010359	25058
GO:0043066	25058
GO:0009741	25058
GO:0005524	25058
GO:0046835	25058
GO:0004396	25058
GO:0044877	25058
GO:0018105	25058
GO:0004340	25058
GO:0046777	25058
GO:0005829	25058
GO:0002931	25058
GO:0019158	25058
GO:0006096	25058
GO:0042802	25058
GO:0006468	25058
GO:0005739	25058
GO:0001666	25059
GO:0046835	25059
GO:0004396	25059
GO:0006002	25059
GO:0004340	25059
GO:0002931	25059
GO:0005536	25059
GO:0051156	25059
GO:0005886	25059
GO:0005829	25059
GO:0016529	25059
GO:0008865	25059
GO:0005524	25059
GO:0005739	25059
GO:0007595	25059
GO:0032991	25060
GO:0004396	25060
GO:0006002	25060
GO:0004340	25060
GO:0005515	25060
GO:0042562	25060
GO:0051156	25060
GO:0019899	25060
GO:0008865	25060
GO:1901299	25060
GO:0032355	292804
GO:0043524	292804
GO:0046686	292804
GO:0043154	292804
GO:0007611	292804
GO:0005975	292804
GO:0005737	292804
GO:0035994	292804
GO:0035902	292804
GO:0043005	292804
GO:0033574	292804
GO:0051156	292804
GO:0048029	292804
GO:0005829	292804
GO:0032570	292804
GO:0043278	292804
GO:0004347	292804
GO:0042132	114508
GO:0006094	114508
GO:0006002	24362
GO:0006094	24362
GO:0005975	24362
GO:0048029	24362
GO:0005829	24362
GO:0032869	24362
GO:0042132	24362
GO:0006002	25741
GO:0005975	25741
GO:0003872	25741
GO:0048029	25741
GO:0006096	25741
GO:0042802	25741
GO:0005829	25741
GO:0005524	25741
GO:0030388	25741
GO:0070095	25741
GO:0001666	24189
GO:0019242	24189
GO:0005737	24189
GO:0009408	24189
GO:0032496	24189
GO:0035094	24189
GO:0005515	24189
GO:0005739	24189
GO:0043627	24189
GO:0000792	24189
GO:0030424	24191
GO:0099524	24191
GO:0001666	24191
GO:0010243	24191
GO:0044877	24191
GO:0005737	24191
GO:0006915	24191
GO:0004332	24191
GO:0031100	24191
GO:0005515	24191
GO:0042802	24191
GO:0007568	24191
GO:0014070	24191
GO:0005975	24849
GO:0004807	24849
GO:0005634	24849
GO:0005515	24849
GO:0005829	24849
GO:0007565	24383
GO:0005975	24383
GO:0005515	24383
GO:0004365	24383
GO:0000226	24383
GO:0015630	24383
GO:0019933	24383
GO:0005737	24383
GO:1905460	24383
GO:0008017	24383
GO:0060359	24383
GO:0098978	24383
GO:0005634	24383
GO:0050821	24383
GO:0005829	24383
GO:0035605	24383
GO:0035606	24383
GO:0006094	24383
GO:0006915	24383
GO:0051402	24383
GO:0099092	24383
GO:0006096	24383
GO:0042802	24383
GO:0005737	66020
GO:0007286	66020
GO:0031514	66020
GO:0004619	24642
