geneset	gene
GS1228	11431
GS1228	12527
GS1228	12537
GS1228	28146
GS1228	13805
GS1228	14672
GS1228	15267
GS1228	17999
GS1228	18176
GS1228	20266
GS1228	20646
GS1228	16439
GS1228	18477
GS1228	11305
GS1228	16897
GS1228	19274
GS1228	13003
GS1228	18830
GS1228	13056
GS1228	27965
GS1228	12659
GS1228	13429
GS1228	17886
GS1228	19165
GS1228	20196
GS1228	13589
GS1228	18007
GS1228	15182
GS1228	20843
GS1228	17933
GS1228	52120
GS1228	11745
GS1228	52666
GS1228	233724
GS1228	12937
GS1228	14199
GS1228	14866
GS1228	22687
GS1228	19286
GS1228	12234
GS1228	24071
GS1228	26367
GS1228	26901
GS1228	30926
GS1228	54208
GS1228	57874
GS1228	56700
GS1228	66258
GS1228	66406
GS1228	66521
GS1228	59050
GS1228	67067
GS1228	67092
GS1228	67125
GS1228	67283
GS1228	67705
GS1228	67874
GS1228	67922
GS1228	56292
GS1228	68024
GS1228	69156
GS1228	70316
GS1228	70572
GS1228	72141
GS1228	74322
GS1228	76238
GS1228	77106
GS1228	78329
GS1228	57431
GS1228	56695
GS1228	83397
GS1228	83796
GS1228	106143
GS1228	113868
GS1228	235339
GS1228	319245
GS1228	207352
GS14887	11438
GS14887	14173
GS14887	14806
GS14887	14958
GS14887	15567
GS14887	18516
GS14887	18546
GS14887	19946
GS14887	20604
GS14887	16168
GS14887	21425
GS14887	319504
GS14887	21926
GS14887	382088
GS14887	11550
GS14887	19877
GS14887	16525
GS14887	11418
GS14887	21412
GS14887	15114
GS14887	14852
GS14887	11974
GS14887	14007
GS14887	20200
GS14887	26445
GS14887	27214
GS14887	53376
GS14887	51813
GS14887	107934
GS14887	56637
GS14887	56455
GS14887	53420
GS14888	11350
GS14888	11438
GS14888	108015
GS14888	11448
GS14888	11512
GS14888	11804
GS14888	11806
GS14888	11808
GS14888	11814
GS14888	11820
GS14888	11836
GS14888	11998
GS14888	12064
GS14888	12161
GS14888	20201
GS14888	12385
GS14888	12532
GS14888	12534
GS14888	12558
GS14888	13000
GS14888	13001
GS14888	13039
GS14888	13645
GS14888	13667
GS14888	13684
