#rank	DIAMOnD_node	p_hyper
1	GS1132	1.3731899623175103e-41
2	GS248563	8.836716753633074e-28
3	2771	1.540234925628944e-21
4	2770	3.162995944009343e-23
5	2773	5.601029967081609e-25
6	94235	1.1769350474559525e-26
7	2790	7.692543221349897e-29
8	2786	4.7973035698478825e-31
9	2791	2.44708265104762e-33
10	10681	1.1771826270558161e-35
11	2793	5.356065185622031e-38
12	2785	3.3632799903805802e-40
13	2784	1.4082614884327895e-42
14	54331	6.89993604123621e-45
15	2787	2.6546930153316e-47
16	2792	1.5270263219265688e-49
17	59345	1.0909005436934731e-51
18	2783	7.802370431880423e-54
19	55970	3.390227935477651e-55
20	2775	4.7988246511055623e-57
21	1129	3.28849381470791e-54
22	3361	2.235771233970444e-51
23	3350	4.7404706720159564e-54
24	3355	3.119155756236958e-56
25	3352	5.105758210658767e-59
26	3354	3.4407737455433656e-61
27	9568	6.678482167376079e-61
28	2550	2.553780072770777e-62
29	2788	3.8483978674329138e-59
30	51764	5.2920325623622526e-61
31	2782	1.149869707431821e-62
32	3363	5.5715269240076844e-61
33	2778	1.186214068671232e-62
34	2914	2.73316510885683e-60
35	2917	6.432294972084748e-63
36	2918	8.96173350212629e-65
37	10672	2.162002346172976e-66
38	5332	4.707752397429596e-60
39	5330	3.780346894095004e-62
40	5331	5.155036254646832e-64
41	23236	1.7125111370061416e-65
42	1132	1.5513806437766546e-59
43	1268	4.622130228442286e-59
44	51655	7.032453127014312e-58
45	146850	8.387858560715769e-58
46	23533	3.840767639445474e-60
47	3845	3.820425660869079e-61
48	4893	3.615772875033481e-61
49	3265	1.5087560514883485e-62
50	5581	4.1785803358293676e-63
51	2776	2.3235812279834265e-60
52	5603	5.333697449382825e-59
53	6300	7.91466169857014e-61
54	5602	2.9262013208164957e-63
55	1432	1.4010973459816864e-65
56	5600	1.609388575331307e-67
57	5601	2.355694570911863e-68
58	5595	2.528701999284152e-66
59	5594	8.06824771326131e-68
60	187	8.02714535481334e-58
61	8503	5.76516595648496e-57
62	5296	1.5014882813611187e-58
63	5295	1.7409299403800248e-60
64	22808	2.3308455935185786e-61
65	6237	5.255156076297056e-62
66	22800	3.0942400871110035e-64
67	57580	1.0041657139623374e-58
68	117	1.996881129433557e-54
69	3762	5.194546859973915e-54
70	3765	3.1673645231671144e-57
71	3760	6.043592253307854e-59
72	3763	1.1944069747257594e-61
73	6323	8.593443132135741e-54
74	5335	1.5821195981873006e-53
75	5336	9.329187979915412e-54
76	4543	5.121668955241881e-50
77	2911	1.5889442982948772e-49
78	5923	1.835018839260112e-49
79	5924	1.113709397069895e-51
80	776	9.614207871986031e-53
81	775	5.523608310314998e-55
82	774	4.276666091658059e-56
83	773	1.6572554246319227e-57
84	778	4.548981121172747e-56
85	779	3.273405350419056e-58
86	5021	3.2102178308213452e-49
87	1128	4.378709222397166e-50
88	4544	2.0823014716008336e-47
89	2915	4.848231261676022e-46
90	154	1.5380494884916245e-45
91	1909	3.1695368272867705e-45
92	552	1.215965595083808e-47
93	3358	8.281972932110489e-50
94	5733	1.2238044615271548e-51
95	553	1.2382752025190314e-53
96	185	2.927272907367307e-54
97	5737	1.30692342537602e-56
98	3357	1.3676219476694137e-56
99	1131	5.636754839938578e-54
100	3973	4.721807699751466e-55
101	9630	1.6138333908406986e-54
102	2769	5.213398009721169e-57
103	624	1.1228693484281107e-58
104	1910	2.0401272658795812e-60
105	623	2.5501577861525535e-60
106	2767	1.555006533595893e-62
107	6915	3.374054513598772e-64
108	146	6.610109516482777e-67
109	10800	6.3654569409287775e-68
110	57105	5.783601346804786e-71
