#rank	DIAMOnD_node	p_hyper
1	GS1132	3.128237735641697e-38
2	GO:0005515	1.128157015026474e-27
3	GS248563	6.523794245669616e-23
4	1128	3.442488071535132e-21
5	1909	2.79387115102177e-21
6	1129	7.000184145665671e-23
7	7852	3.541874251554231e-24
8	5733	2.2138484618085705e-26
9	552	7.07912432497393e-27
10	6865	4.66200395031379e-29
11	2915	5.5335273554715655e-31
12	553	7.019603686035528e-33
13	7201	5.116304254626389e-35
14	6915	1.2179134174294999e-37
15	1131	9.836854105271695e-40
16	623	2.4200914747261612e-42
17	5724	4.980102406082033e-45
18	9630	1.6338567980435845e-47
19	887	4.353601213341827e-49
20	10800	8.106107998631081e-52
21	57105	1.0874284371266316e-54
22	56413	2.871737191736394e-57
23	5731	3.419990642200711e-60
24	4923	1.3760478767285104e-62
25	2925	1.0901278569642476e-64
26	3269	1.233976028351316e-67
27	2769	7.12620249065447e-70
28	147	3.7487171235993014e-72
29	3358	1.6146725705617186e-74
30	146	2.6589564647848513e-77
31	3973	7.897238709032514e-80
32	624	2.4309252974910093e-82
33	185	8.826498067941941e-85
34	5737	2.7176112637539163e-87
35	1910	1.1132660054915174e-89
36	2767	6.712659959708521e-91
37	2911	1.1937196187318881e-92
38	2149	1.5684994325464015e-94
39	3357	5.217815132581993e-97
40	2776	6.244721946718177e-88
41	GO:0005886	3.73974942294492e-35
42	154	2.450617642170563e-33
43	2770	3.2068555272164754e-30
44	2773	9.158157641379014e-32
45	3351	2.2089150668225974e-33
46	3354	2.3894470298530483e-35
47	3350	3.8245841271442045e-36
48	4886	1.0545780983022771e-38
49	3355	1.5172036943049881e-40
50	134	4.670303115578649e-43
51	3352	1.722343822841921e-45
52	6755	2.971918304886067e-48
53	56670	3.534990641886828e-49
54	6752	2.122601987518156e-50
55	2867	3.3505427755476316e-53
56	338442	8.74389721697626e-56
57	8843	7.94434526366736e-59
58	27198	1.9783044183781222e-61
59	5020	2.3653200303709743e-64
60	6751	3.010861110321828e-65
61	1906	2.130089720872781e-63
62	9568	6.470444250678924e-66
63	6750	1.2705042758593657e-66
64	2771	1.0471206114670074e-62
65	1907	1.2743186358739313e-62
66	1908	8.823528018506379e-65
67	51738	2.3235894527583426e-58
68	55970	1.1276769533738076e-36
69	3361	3.5125419063971496e-35
70	3362	1.411677818054269e-36
71	3360	1.0208705894598197e-36
72	153	4.799077048185742e-37
73	2778	2.079548536812193e-37
74	2775	5.754398299312361e-38
75	94235	2.231021490154455e-38
76	2791	2.5105606968425266e-40
77	2786	1.7608565229578215e-42
78	2785	1.9030985483471112e-44
79	54331	1.5910612861565756e-46
80	2787	1.0044273073698237e-48
81	2792	1.0325761589830749e-50
82	59345	1.374917893325015e-52
83	10672	7.202139526157988e-54
84	2790	6.815625362030581e-56
85	2793	4.773587236736189e-58
86	10681	2.3791870414703548e-60
87	2784	2.2135407812210955e-62
88	2783	1.9554711888337322e-63
89	2912	2.1847733369913145e-65
90	2914	3.689184997780314e-67
91	2917	1.311809262266493e-69
92	2918	4.524314166727144e-71
93	2913	3.473550098237724e-73
94	5332	1.902484294400632e-70
95	5331	7.036735955980583e-72
96	23236	5.036162588043443e-73
97	5330	1.9826457937600178e-74
98	2788	3.254131637536243e-59
99	51764	7.308177460199503e-61
100	1132	1.5005140733489254e-63
101	2782	3.414605355100204e-62
102	117	2.1531238496137525e-60
103	1268	7.320363536218879e-56
104	2916	2.2506456907058286e-55
105	1902	1.0250940166444994e-56
106	23566	4.738592929617169e-57
107	3577	3.710065064982296e-59
108	3579	3.741079790717044e-61
109	554	1.0617806282474139e-63
110	2768	2.4692317037633925e-65
111	57121	1.1432275944761972e-66
112	9170	1.0913525529938064e-68
113	2846	3.1855904141886456e-70
114	10161	3.462773833670543e-70
115	5294	7.256879916775926e-54
116	3763	1.0748513765998513e-53
117	3765	1.1153250785894098e-55
118	3760	3.9513185100954106e-57
119	3762	8.709407584655486e-59
120	187	1.8475388708762863e-52
121	6323	2.0025442154425263e-52
122	51655	2.0751460910014306e-51
123	146850	4.655584188392141e-51
124	23533	4.021024768651431e-53
125	183	7.452613747402e-51
126	776	1.6697984375577973e-49
127	775	1.4363632698478452e-51
128	779	1.379439355628544e-52
129	773	4.092739340041799e-52
130	774	1.35606505451611e-53
131	778	4.921434888661967e-55
132	5923	2.0679233140227806e-49
133	5924	1.940305801313812e-51
134	4893	5.333713357819759e-52
135	3845	4.917924184149595e-54
136	3265	3.114289226942727e-55
137	5291	8.498568471247417e-54
138	5293	9.060945672751573e-56
139	5290	1.6702856817495602e-57
140	8503	4.888225531828719e-58
141	5296	2.412088865428436e-59
142	57580	9.16531819244903e-59
143	22800	3.152413753550347e-56
