#rank	DIAMOnD_node	p_hyper
1	GS1132	4.798034073005375e-40
2	100169851	5.36514904987504e-33
3	160065	1.0397380182163598e-35
4	399967	9.13129548520651e-39
5	1134	6.992168276823785e-42
6	130576	4.6538308897838055e-45
7	130574	7.495377394578197e-48
8	1142	4.1180746878600685e-51
9	1145	1.9486135468134318e-54
10	66004	2.847687156204781e-57
11	432355	1.1046837072996319e-60
12	399968	5.988658904531041e-63
13	57152	8.632591486711729e-66
14	GS26305	3.03287676765268e-22
15	GO:0005515	2.016278835907999e-20
16	221357	3.4708471330083836e-21
17	2947	3.2423411731686464e-23
18	119391	2.9833907978717956e-25
19	4258	3.98797055286748e-27
20	2939	2.2888058825016806e-28
21	4257	1.1672032695884761e-30
22	2941	4.364200192856185e-33
23	2946	2.0197611788774669e-35
24	2940	6.671373377180045e-38
25	9446	2.0601121213141683e-40
26	2938	5.961261752497548e-43
27	222	1.709584145547086e-45
28	218	5.2542669195253056e-48
29	2944	1.4938780585566106e-50
30	221	2.746861331126951e-53
31	653689	7.614247045084852e-56
32	4259	2.512729307044245e-58
33	2950	5.0553810643328965e-61
34	2948	1.5908197127877546e-63
35	2953	4.931548885043439e-66
36	2949	2.532820205475806e-68
37	124	2.525483050057093e-69
38	130	5.583015090537337e-71
39	127	1.6737364792198942e-73
40	128	4.9599299041006014e-76
41	373156	3.4358969498593744e-77
42	2052	5.310445464974993e-65
43	1572	4.514496037513004e-67
44	29785	2.5871562770387653e-62
45	1576	1.6157256615470555e-64
46	1549	1.2853355567891365e-65
47	1559	1.4242858342950208e-66
48	1543	2.918884429305171e-68
49	1544	3.295720432118287e-69
50	1545	3.1155957239576403e-59
51	51060	5.86450999161942e-54
52	124975	9.25210421775694e-54
53	493869	1.5683457147749016e-56
54	2686	5.777027297659209e-59
55	2882	2.0646835999995045e-61
56	79094	3.148556744971204e-64
57	2880	3.4017722256901693e-67
58	257202	6.637085775938498e-70
59	10314	7.594704018481984e-73
60	2878	5.470825467617209e-76
61	2877	2.7830732257776474e-79
62	2876	5.091778671585225e-82
63	494143	4.2193752858447174e-85
64	2937	3.384862738733442e-86
65	2678	3.8596687482850865e-89
66	2687	1.2587326651364363e-89
67	9588	5.055641275442627e-79
68	2936	4.0261685704389406e-78
