#rank	DIAMOnD_node	p_hyper
1	8394	0.00013305336256834744
2	8395	7.255129781372207e-06
3	5880	1.0265917427803062e-06
4	387	1.0730554770181123e-07
5	382	1.198842245606926e-07
6	8826	1.190925954354727e-07
7	71	2.8954253824998242e-08
8	5881	3.247487451376049e-08
9	128239	1.0973403189409072e-08
10	10788	2.2295598143363785e-10
11	998	1.910965048059123e-10
12	7409	3.015052682467393e-10
13	7410	2.053937137715198e-10
14	10451	3.327246425864111e-12
15	7074	4.2631826806290896e-11
16	2185	6.771868598213476e-11
17	5293	2.69771384945331e-10
18	5291	1.9947233722845642e-11
19	5908	1.0120495623025361e-12
20	5906	4.0547861855456084e-14
21	5290	7.463512863767974e-15
22	5296	2.2994027044594553e-15
23	7294	1.2911723579004293e-16
24	8503	8.871755218384553e-18
25	930	1.2494242524920774e-18
26	3702	2.846367841773138e-17
27	2534	7.05786529659521e-14
28	10231	1.2097954222355255e-13
29	57580	1.6596116187585514e-13
30	6850	2.185421813719845e-13
31	118788	1.0893388271642013e-15
32	4067	6.062283750677605e-14
33	2207	1.783489041328155e-14
34	2268	5.528847967096757e-14
35	6714	1.1065527214925994e-14
36	3055	3.568008818139525e-16
37	9846	1.3794940604385644e-15
38	5747	4.7013007631016794e-14
39	695	4.011157200230853e-13
40	5336	3.858087524606494e-14
41	5335	2.8161320944047112e-15
42	5294	1.1639932526621626e-15
43	4952	1.6602018076556727e-15
44	8867	3.664458337720444e-17
45	3633	7.361218107493884e-19
46	56623	1.3510576337609244e-20
47	8871	3.501500385100154e-22
48	8396	7.188646366384616e-23
49	5305	1.288369773548208e-24
50	79837	2.1464898017306217e-26
51	55529	5.367366070025105e-28
52	90809	3.507409865226476e-30
53	5728	5.5244905669755095e-30
54	9651	2.5279836185160238e-27
55	23007	2.555848290587579e-29
56	51196	1.2858555186699123e-29
57	113026	5.0113296540923067e-29
58	5333	1.2737881726899963e-30
59	89869	3.092755485459197e-32
60	84812	1.4948136195632888e-33
61	138429	2.5548451285475627e-32
62	5331	3.3031886575340676e-30
63	22908	7.430935067140617e-32
64	22876	7.08548194320454e-34
65	5332	4.372953271465343e-34
66	5288	1.1908613609139495e-35
67	5286	1.2436662398783481e-37
68	5287	2.6080506921731876e-39
69	5330	2.5888231852165458e-39
70	5297	2.798119233265787e-41
71	55300	1.9511507156152066e-43
72	55361	1.2408307844504229e-45
73	5298	4.7504863872446435e-46
74	200576	1.2884676255720325e-47
75	23236	1.4114026500157406e-47
76	8898	1.6518723540219258e-47
77	9108	8.868642576590078e-50
78	8776	4.289098669697003e-52
79	9107	1.8573706790702554e-54
80	64419	3.0464802370954956e-56
81	8897	1.1474095261912587e-58
82	9110	3.8089506467295886e-61
83	55613	1.1015156002281979e-63
84	4534	9.492100822301542e-65
85	10423	6.98394148817805e-57
86	5289	1.4084267159340495e-53
87	3631	2.1960365049399717e-36
88	8821	1.3616448693461446e-38
89	3612	6.042590091214293e-24
90	3613	3.6299422803466863e-26
91	54928	6.718385424978809e-28
92	3628	3.097587774302178e-27
93	3632	1.3948939047177264e-24
94	27124	1.0803407580540798e-23
95	51763	2.187021401942563e-25
96	80271	2.0975080834050255e-26
97	3706	8.920666722479926e-29
98	3707	1.5691767881669833e-30
99	253430	1.305840850216899e-31
100	9562	1.7060561547558473e-25
101	9896	6.281414533543627e-23
102	3636	2.102776190230872e-21
103	3635	1.5106060690492976e-22
104	2358	7.193405911186056e-21
105	2359	1.692060373558419e-23
106	2357	1.5384653273076158e-19
107	3705	9.512275109327468e-18
108	cpd:C01245	2.2971799884898363e-16
109	3709	2.847485864075299e-16
110	3710	1.0143249013028068e-17
111	3708	4.884216111880096e-18
112	5580	5.016803921808888e-13
113	5579	6.04525052376336e-14
114	5578	1.1302875329798457e-14
115	5582	7.80736239914768e-15
116	5894	4.373254286135376e-13
117	cpd:C05981	3.01731459932661e-13
118	10870	6.944477917572618e-13
119	85477	2.304923187270696e-12
120	2934	7.673207131709694e-13
121	3937	3.4654049157381667e-12
122	7006	2.342736232129196e-13
123	29760	4.9917649250378536e-14
124	9455	4.0817874463395794e-12
125	9456	2.612612904980349e-13
126	9454	4.146060759347008e-15
127	3791	3.0527156680900297e-11
128	5781	3.542351652529066e-11
129	27040	5.42976175837946e-12
130	7535	5.752780789445155e-12
131	3688	7.26991172226546e-11
132	87	9.69139423831997e-11
133	7414	2.4648487704380695e-12
134	81	9.679853956414707e-14
135	5829	2.759384845737089e-12
136	10681	1.3604925258614496e-10
137	2786	1.4088214925340509e-11
138	2787	1.3719998438781489e-12
139	2790	1.2601469146394546e-13
140	54331	1.0943570136215689e-14
141	94235	9.006543711556644e-16
142	2793	7.0390288982486e-17
143	59345	5.2339886521463134e-18
144	2785	3.70897832729145e-19
145	2791	3.177596320410797e-20
146	2783	2.078194604313037e-21
147	2784	2.787683085706678e-22
148	23533	7.638902568246482e-24
149	146850	1.5912496014213896e-25
150	2792	1.3688722576037433e-25
151	4893	3.1595338385019676e-26
152	3845	3.215375309563639e-27
153	3265	1.8392987467178506e-28
154	55970	1.83794876340991e-29
155	22808	7.365439454009874e-30
156	6237	3.9376503097277153e-31
157	22800	5.208902551635279e-32
158	5581	2.9535786357827913e-30
159	2770	1.1397153364130364e-27
160	2773	8.641486284757202e-29
161	2771	1.018240521993523e-29
162	1815	1.1053581113407012e-25
163	4543	3.568885837804499e-25
164	4544	9.612250644638946e-27
165	187	4.617236692566796e-25
166	5923	2.2744271030163802e-24
167	5602	3.0770460030060226e-24
168	5601	5.838726309908901e-25
169	5599	1.8949332505093956e-25
170	2775	4.6625389402690053e-26
171	6323	6.996248111344186e-26
172	3765	5.64784184493526e-25
173	3763	6.963040642278881e-27
174	3762	7.46853894597851e-29
175	3760	2.3363163523026866e-30
176	2788	1.8903937600716295e-24
177	51655	3.812277941751965e-26
178	51764	9.26747009977909e-26
179	1132	1.3180811764902967e-27
180	2782	3.976891359366435e-27
181	773	5.30681157481834e-28
182	9568	5.9775935197183446e-28
183	5924	7.98457205825228e-28
184	2914	1.6220245642520242e-27
185	2918	4.136686159118977e-29
186	2917	9.841300783535568e-31
187	2912	8.875219503148058e-32
188	2913	4.0321017911910685e-33
189	10672	3.0342715929345377e-30
