#rank	DIAMOnD_node	p_hyper
1	285855	6.6568321700354305e-06
2	11127	7.189378743638225e-06
3	6949	7.74240787776433e-06
4	23246	8.315919572413485e-06
5	23481	8.909913827585784e-06
6	55661	2.851725951476208e-05
7	8546	3.0416353601600045e-05
8	9221	3.2376509765070585e-05
9	23432	3.4397715570032965e-05
10	3839	0.00012105909168934731
11	23054	0.0002048209984162979
12	2957	1.3641385308441647e-05
13	2091	0.000397341324743583
14	9138	0.0008162135546216937
15	23365	6.678213849110216e-05
16	9826	5.473421608001371e-06
17	11214	2.469495761731017e-06
18	2768	7.159006712191077e-06
19	10672	2.2588271708686043e-06
20	5745	3.6329558615657256e-07
21	9459	0.00010181475992048992
22	28964	0.00021940625716297053
23	1000	0.00022889920875022258
24	5062	0.0005136291520679474
25	5058	3.386885747139276e-05
26	5063	7.3484746724031805e-06
27	106821730	1.6256731270604158e-07
28	4690	2.815920429428005e-09
29	56924	7.940189202398325e-11
30	10298	2.886227061341869e-12
31	57144	1.4464105324441822e-13
32	3985	1.1239859262859381e-13
33	3984	5.313751180358974e-15
34	6416	5.574100734497229e-13
35	5881	7.611486030011052e-14
36	5880	1.1290799765510097e-14
37	5609	2.5617243779106157e-15
38	5879	2.464089160592952e-16
39	998	8.908263889798862e-13
40	8440	1.5200901116687708e-12
41	5894	5.0404138526980274e-12
42	5604	7.559460539814722e-11
43	85366	1.974234223958603e-09
44	91807	4.497713980249397e-11
45	4638	8.891034092286614e-13
46	340156	1.5410610298587325e-14
47	50619	1.2882316056072568e-08
48	55970	2.6954999835048945e-08
49	128239	4.2971765861762384e-08
50	10788	1.2103000363059572e-09
51	8826	3.4693196439768326e-11
52	84448	5.051529040222009e-08
53	22885	5.581622750766396e-10
54	3983	3.702245709590791e-09
55	5364	1.248253914938808e-07
56	23654	1.885209695365723e-09
57	5365	2.2479668092106304e-11
58	4214	1.9599319681293714e-07
59	6237	4.479449001738392e-08
60	10928	1.1734032958110977e-07
61	5900	1.7982280638381905e-07
62	25791	3.687394296400091e-07
63	22808	4.040362679168059e-07
64	22800	4.4229518006779835e-08
65	673	3.1417360783164685e-09
66	369	7.274908993857987e-11
67	4342	1.5650829720463026e-11
68	4893	6.547825314983545e-12
69	3265	5.791982331010901e-13
70	3845	3.84958318585466e-14
71	8036	6.541638396313231e-15
72	5581	1.0063484033783162e-14
73	7074	4.649913215099286e-13
74	4763	8.676527388361872e-13
75	5922	9.963128766792734e-13
76	11186	1.5405770932505128e-11
77	23179	2.8710175051359755e-11
78	8315	3.0480726848899286e-11
79	9771	3.23412323342447e-11
80	8437	4.0333249657075656e-11
81	10156	3.818213920714012e-13
82	64926	2.7813990761288303e-15
83	22821	1.534422523184881e-17
84	100271927	6.215423265347189e-20
85	9462	1.747255172509643e-22
86	8831	1.1979442964497541e-23
87	5921	2.883826141916906e-19
88	4046	6.809566444625369e-11
89	5863	1.6863369037948398e-10
90	9610	9.59867696092973e-10
91	83593	2.5977890085572166e-09
92	5908	5.666832879338282e-10
93	9693	1.7204815149255218e-10
94	5906	4.5609209275178045e-11
95	5910	7.763614916606662e-11
96	5602	1.7862605153297923e-10
97	5601	2.538204178445208e-11
98	5599	4.555301730382904e-12
99	5608	4.72265406049398e-13
100	5606	1.5198000045776006e-14
101	4217	7.429184366253444e-12
102	23162	1.0973620684380915e-10
103	5899	1.6511078369113482e-10
104	5898	4.039238130203804e-12
105	5603	2.3504619917433593e-10
106	6300	2.092073335674623e-11
107	5600	2.2965687045588814e-12
108	1432	2.1216424332444905e-13
109	10411	1.2226285202538425e-14
110	11069	6.500106629880048e-16
111	1029	2.868564572469885e-14
112	6885	8.798553597683173e-14
113	2793	1.611518789648687e-13
114	10681	1.1953297657123618e-14
115	2790	8.374614248838095e-16
116	54331	5.556109240122708e-17
117	2785	3.498618769845047e-18
118	59345	2.0952478197067317e-19
119	94235	1.1956244866182205e-20
120	2787	6.511899422567983e-22
121	2786	3.390321451970642e-23
122	2783	2.1743102139386055e-24
123	2791	1.050847198564133e-25
124	2784	1.0952326021114376e-26
125	2792	1.1459899446364965e-27
126	57580	3.981580434714914e-25
127	2770	8.88583101593952e-25
128	2773	6.230281757936752e-26
129	2771	6.2692100532152624e-27
130	23533	1.288516085182525e-27
131	146850	1.9702321728279836e-29
132	2775	1.553862811110733e-27
133	6323	2.1483347732564306e-28
134	1815	8.529915558933624e-28
135	1814	1.8928260956967256e-29
136	3763	1.6855071063629424e-27
137	3762	1.5432132422405308e-29
138	3765	1.2311182797849803e-31
139	3760	2.884315445323117e-33
140	187	5.505859359640579e-27
141	4543	7.187059442145855e-27
142	4544	1.5542653061615123e-28
143	9568	2.2639663547570182e-26
144	51655	2.557108937893238e-26
145	1132	7.883909993253152e-26
146	5291	4.354410999887452e-25
147	5294	1.986823858090039e-26
148	5293	2.140653348504203e-27
149	5290	2.7827565767935167e-28
150	2788	4.0122262528393057e-28
151	5296	5.089542510858485e-29
152	51764	1.3428201435814535e-29
153	2782	2.700019276149282e-30
154	8503	3.136601429807175e-31
155	5295	8.147524901981084e-32
156	1268	2.973824627074357e-29
157	1813	8.862446475010028e-30
158	3352	7.03543501446973e-27
159	3355	1.8656822901855742e-28
160	3350	4.647411954546629e-30
161	3351	3.439493158539462e-31
162	3354	8.044693476606692e-33
163	3361	5.5534682562427545e-34
164	1129	2.0996515547247054e-29
165	3363	6.007966643661261e-29
166	2917	3.7515269575818866e-26
167	2914	9.275961921354668e-28
168	2918	2.1399947341247663e-29
169	2912	1.6305177735774667e-30
170	2913	6.686027737960109e-32
171	2778	6.88862841663372e-27
172	5923	4.7027606910925785e-25
173	5924	8.306793122983003e-25
174	773	3.427509634338431e-26
175	774	2.5705845532802754e-27
176	5332	4.205638399500663e-24
177	5331	3.7681679733171646e-25
178	23236	4.001268752547686e-26
179	5330	3.409482774027757e-27
180	109	2.322444666277368e-23
181	112	1.3650714578178003e-23
182	108	9.32858066930891e-25
183	115	4.3599018444559e-26
184	196883	1.944957459133723e-27
185	114	8.288876185108384e-29
186	113	3.377350357178494e-30
187	107	1.3166187090540595e-31
188	55811	6.336578554852833e-33
189	111	6.910574951587687e-34
190	5580	8.731181057993777e-31
191	814	2.3483982976398125e-29
192	5595	8.044550277844163e-24
193	5594	2.0034195202732986e-24
194	6714	4.245425450918653e-23
195	2776	2.6244868441260564e-22
196	5336	3.0431459337799633e-22
197	5335	3.5257976965571944e-22
198	27040	5.1050188787036033e-23
199	91860	3.444440880485611e-21
200	163688	1.939050466041357e-22
201	810	1.4628485384133027e-23
202	805	7.596662254434184e-25
203	51806	5.446031694937059e-26
204	801	2.6212141389753092e-27
205	808	1.793777158102785e-28
206	776	7.920491978571302e-27
207	775	8.706087889695564e-28
208	818	2.7651712013829068e-24
209	817	1.3142315859231964e-25
210	816	5.948088587670933e-27
211	815	5.998624025234788e-28
212	779	1.475890646406727e-27
213	778	1.057033612767052e-28
214	207	2.784571869402663e-20
215	4846	7.126548199852427e-21
216	10000	7.853501518161498e-22
217	208	7.883496325343266e-23
218	4842	6.411631516245718e-24
219	5578	4.026110148638933e-19
220	8536	5.109286305558638e-19
221	57172	2.789321891986722e-21
222	57118	9.516921050628295e-24
223	7410	7.755211321416124e-19
224	10451	1.5291166909214114e-20
225	7409	1.5044473978242296e-21
226	3702	1.0978941289200264e-18
227	5170	2.1045298601282237e-18
228	5241	3.24907251399939e-18
229	5590	4.506531199630915e-18
230	5579	5.19690371864736e-18
231	25780	8.170749633897294e-19
232	5582	3.0070044632213066e-18
233	3710	2.868760583304954e-19
234	51196	4.842673483618891e-20
235	3709	3.0842215289534073e-21
236	3708	2.8962490843876134e-22
237	2359	8.16266992003388e-18
238	2358	3.425853528342602e-20
239	2357	1.791779081291266e-19
240	5565	1.6150742326288866e-17
241	53632	1.1311162821744328e-18
242	5563	7.511390682334061e-20
243	5562	4.735714195118002e-21
244	51422	2.837931912257795e-22
245	5571	1.618154070582942e-23
246	5564	8.525185284089504e-24
247	2308	8.312093978858807e-23
248	10645	9.99029001052369e-21
249	2309	2.5683041187242376e-18
250	2475	1.418660377880034e-17
