#rank	DIAMOnD_node	p_hyper
1	8864	1.5387134228339266e-06
2	5187	5.774533324630692e-09
3	102800317	3.214926130543259e-08
4	1453	1.4263180275209537e-08
5	1456	1.7086810222225905e-05
6	53944	1.774819818840412e-07
7	1455	2.110571256818515e-09
8	1452	3.660614986704937e-11
9	122011	2.335932221145247e-13
10	6608	1.9969708210123015e-13
11	8313	1.9794532680520237e-07
12	8312	2.445965287590698e-09
13	5566	1.7498880894518076e-05
14	5568	1.9716801677075082e-05
15	1499	2.5865572171341214e-06
16	5567	1.1096512100171283e-06
17	5663	1.0146871512201644e-08
18	4666	1.4569568709072603e-07
19	359	1.6322091397201028e-07
20	9586	4.2179641438281923e-07
21	64764	1.6059484945066496e-08
22	84699	5.33626460256667e-10
23	9252	1.2060783101431969e-11
24	148327	4.1391336122782906e-13
25	90993	9.862578119472686e-15
26	10488	6.990852791397414e-16
27	6770	1.4766100447763644e-17
28	1388	4.812405219784218e-19
29	1386	3.119196903115516e-19
30	1390	8.042050782851581e-22
31	468	5.3885505301722126e-21
32	8986	7.05012526738781e-21
33	57552	1.1693545949126662e-19
34	5449	1.3670439136408213e-19
35	8600	1.2613769317915726e-18
36	7038	1.467344520913306e-18
37	1586	8.243339412336963e-18
38	9658	2.6581258148111707e-16
39	1585	3.251684956720851e-16
40	1584	4.5521499998104085e-18
41	3164	2.7854441488912844e-16
42	1026	5.16605092423065e-16
43	4170	9.27712872752843e-16
44	5087	1.5909298079811594e-15
45	7350	6.216021067505109e-15
46	5595	3.779658944041037e-14
47	10000	3.798195713185438e-15
48	208	2.3808801306023783e-16
49	207	2.2063288317563142e-17
50	5594	2.2899701630246536e-18
51	5578	1.2334145567413844e-14
52	5582	1.1154921777763781e-15
53	5579	4.489284983020571e-16
54	7849	3.7816022794439195e-15
55	2353	8.146675995378458e-15
56	6300	4.245502299142957e-15
57	5603	2.292762298685283e-16
58	5600	1.6189115282167408e-17
59	1432	9.47989831875455e-19
60	5593	2.1492132704393958e-15
61	5592	1.535520040179227e-16
62	57369	9.49009797680245e-17
63	2697	4.65700975782819e-16
64	5598	5.287378353477027e-16
65	3725	2.4429674435197696e-15
66	6667	4.027144813648448e-15
67	4208	5.105176539678168e-15
68	5599	1.6175190906689867e-14
69	4217	2.2748937932196014e-16
70	5602	2.969951491769731e-16
71	225689	3.803028332472517e-18
72	5596	2.4252302646295717e-20
73	5597	1.2354521760901277e-22
74	5601	5.326611596725665e-21
75	572	6.336283856863445e-19
76	2309	1.3164089140931256e-17
77	100132074	1.6951737552804175e-17
78	4303	1.1170162036426656e-18
79	2354	1.1436945278950534e-16
80	3727	5.073015463729404e-18
81	8061	7.111046850663224e-19
82	3726	3.199103949042965e-20
83	2355	1.302370189108568e-21
84	4772	1.0382477260854975e-19
85	54	1.359729645301954e-16
86	2002	9.399572073931191e-16
87	5241	1.0232154822448403e-15
88	1845	1.1370868873420534e-15
89	5778	4.3284356201993775e-18
90	84867	1.0069725192221276e-20
91	5801	1.0825998517182082e-23
92	10018	1.3622102236104537e-14
93	6416	1.8604073336739644e-14
94	799	3.8911599473737906e-14
95	595	2.945118677705566e-13
96	2932	2.4861829305089463e-13
97	1847	4.516680040198657e-13
98	1850	5.5329360199538834e-15
99	1846	5.520828998463832e-17
100	1844	4.453164462018962e-19
101	11221	2.863982251067819e-21
102	1849	1.4361810474465387e-23
103	80824	5.418017446082551e-26
104	1852	1.8586898071934857e-26
105	1843	2.5592271056695862e-18
106	1848	2.560385715929263e-19
107	7270	8.623064665681779e-13
108	1513	2.005718761320472e-12
109	894	3.306239768930879e-12
110	1027	1.1407634533853967e-13
111	3690	1.088505141181276e-11
112	6548	1.1671312897349315e-11
113	2516	1.6947228600005703e-11
114	5609	2.177335254024207e-11
115	6885	7.931135978852194e-12
116	5608	3.4733198442283387e-12
117	5606	1.3586745150865892e-13
118	4214	1.9692814294076125e-14
119	7189	2.052924407962388e-12
120	4893	6.223585245028815e-12
121	3845	7.776478961861453e-13
122	3265	7.033474138487894e-14
123	5894	1.6680249405543626e-14
124	5604	1.7780002129458926e-13
125	2786	2.2725824074899045e-11
126	10681	2.090840063686409e-12
127	2787	1.8101427440403184e-13
128	2785	1.4788696449731603e-14
129	2793	1.1430780668910873e-15
130	54331	8.378042250863808e-17
131	59345	5.8347792310312245e-18
132	94235	3.868399809783752e-19
133	2790	2.4456749886961688e-20
134	2783	1.8741783671239317e-21
135	2791	1.0948651736640298e-22
136	2784	1.3204943106507874e-23
137	5581	1.401743058412085e-24
138	2792	8.807820559373941e-26
139	55970	5.093089193075118e-26
140	23533	1.8725248954788155e-26
141	146850	3.236369714163946e-28
142	2773	3.147961204457767e-26
143	6323	2.0397821754588198e-27
144	2775	1.5287804279400423e-28
145	2770	1.1310244732777109e-29
146	2771	1.2018133754559128e-30
147	51655	3.0782402642615493e-32
148	3763	1.6018675194148244e-30
149	3762	1.2419107706719423e-32
150	3765	8.23251943121076e-35
151	3760	2.0057343199083652e-36
152	1815	1.1620904556548253e-28
153	4543	6.534078883955595e-26
154	4544	1.5991472084129424e-27
