gene1	gene2	goIds1	goIds2
hsa:55703	hsa:5438	['GO:0032728', 'GO:0045089', 'GO:0042796']	['GO:0006366']
hsa:55703	hsa:5441	['GO:0032728', 'GO:0045089', 'GO:0042796']	['GO:0006356', 'GO:0006366']
hsa:55703	hsa:221830	['GO:0032728', 'GO:0045089', 'GO:0042796']	[]
hsa:55703	hsa:55718	['GO:0032728', 'GO:0045089', 'GO:0042796']	[]
hsa:55703	hsa:5430	['GO:0032728', 'GO:0045089', 'GO:0042796']	['GO:0006353', 'GO:0033120', 'GO:0006366']
hsa:55703	hsa:10621	['GO:0032728', 'GO:0045089', 'GO:0042796']	['GO:0032728', 'GO:0045089']
hsa:55703	hsa:27297	['GO:0032728', 'GO:0045089', 'GO:0042796']	['GO:0006383']
hsa:55703	hsa:30834	['GO:0032728', 'GO:0045089', 'GO:0042796']	['GO:0006139']
hsa:55703	hsa:5433	['GO:0032728', 'GO:0045089', 'GO:0042796']	['GO:0006366']
hsa:55703	hsa:10623	['GO:0032728', 'GO:0045089', 'GO:0042796']	['GO:0006359', 'GO:0032728', 'GO:0045089']
hsa:55703	hsa:25885	['GO:0032728', 'GO:0045089', 'GO:0042796']	['GO:1904750']
hsa:55703	hsa:81488	['GO:0032728', 'GO:0045089', 'GO:0042796']	[]
hsa:55703	hsa:5440	['GO:0032728', 'GO:0045089', 'GO:0042796']	['GO:0006383', 'GO:0006356', 'GO:0006366']
hsa:55703	hsa:10622	['GO:0032728', 'GO:0045089', 'GO:0042796']	['GO:0006383', 'GO:0006359', 'GO:0032728', 'GO:0008283', 'GO:0045089']
hsa:55703	hsa:64425	['GO:0032728', 'GO:0045089', 'GO:0042796']	['GO:0042790']
hsa:55703	hsa:84172	['GO:0032728', 'GO:0045089', 'GO:0042796']	[]
hsa:55703	hsa:5439	['GO:0032728', 'GO:0045089', 'GO:0042796']	['GO:0006366']
hsa:55703	hsa:84265	['GO:0032728', 'GO:0045089', 'GO:0042796']	['GO:0006383']
hsa:55703	hsa:5431	['GO:0032728', 'GO:0045089', 'GO:0042796']	['GO:0006366']
hsa:55703	hsa:51082	['GO:0032728', 'GO:0045089', 'GO:0042796']	[]
hsa:55703	hsa:51728	['GO:0032728', 'GO:0045089', 'GO:0042796']	['GO:0006383']
hsa:55703	hsa:661	['GO:0032728', 'GO:0045089', 'GO:0042796']	['GO:0032728', 'GO:0045089']
hsa:55703	hsa:246721	['GO:0032728', 'GO:0045089', 'GO:0042796']	[]
hsa:55703	hsa:5436	['GO:0032728', 'GO:0045089', 'GO:0042796']	['GO:0006366']
