cluster	gene
cluster:3	34
cluster:3	11364
cluster:3	24158
cluster:5	25363
cluster:5	11370
cluster:5	37
cluster:6	38
cluster:6	25014
cluster:6	110446
cluster:7	11477
cluster:7	79558
cluster:7	90
cluster:9	20391
cluster:9	6442
cluster:9	303468
cluster:12	315150
cluster:12	158
cluster:12	11564
cluster:13	11593
cluster:13	290923
cluster:13	175
cluster:14	183
cluster:14	11606
cluster:14	24179
cluster:16	210
cluster:16	17025
cluster:16	25374
cluster:17	25748
cluster:17	11656
cluster:17	212
cluster:20	270
cluster:20	25028
cluster:20	229665
cluster:26	11818
cluster:26	287774
cluster:26	350
cluster:27	14102
cluster:27	246097
cluster:27	355
cluster:28	367
cluster:28	24208
cluster:28	11835
cluster:29	11846
cluster:29	383
cluster:29	29221
cluster:32	435
cluster:32	59085
cluster:32	109900
cluster:33	443
cluster:33	11484
cluster:33	79251
cluster:35	24941
cluster:35	538
cluster:35	11977
cluster:39	594
cluster:39	29711
cluster:39	12040
cluster:41	12190
cluster:41	675
cluster:41	360254
cluster:44	295703
cluster:44	710
cluster:44	12258
cluster:45	717
cluster:45	12263
cluster:45	24231
cluster:47	729
cluster:47	24237
cluster:47	12274
cluster:48	732
cluster:48	110382
cluster:48	313421
cluster:52	29155
cluster:52	12335
cluster:52	825
cluster:55	917
cluster:55	300678
cluster:55	12502
cluster:56	959
cluster:56	84349
cluster:56	21947
cluster:59	11435
cluster:59	1134
cluster:59	79557
cluster:60	11448
cluster:60	1145
cluster:60	29422
cluster:61	1130
cluster:61	17101
cluster:61	85419
cluster:62	1161
cluster:62	310071
cluster:62	71991
cluster:63	1180
cluster:63	25688
cluster:63	12723
cluster:65	79425
cluster:65	1188
cluster:65	12733
cluster:69	12843
cluster:69	1278
cluster:69	84352
cluster:73	301012
cluster:73	1294
cluster:73	12836
cluster:74	1311
cluster:74	12845
cluster:74	25304
cluster:75	24268
cluster:75	1356
cluster:75	12870
cluster:76	1371
cluster:76	304024
cluster:76	12892
cluster:77	12896
cluster:77	25413
cluster:77	1376
cluster:78	25307
cluster:78	13010
cluster:78	1471
cluster:79	13014
cluster:79	1476
cluster:79	25308
cluster:80	13057
cluster:80	79129
cluster:80	1535
cluster:83	107986
cluster:83	1643
cluster:83	100362121
cluster:84	1738
cluster:84	13382
cluster:84	298942
cluster:85	99586
cluster:85	1806
cluster:85	81656
cluster:88	13616
cluster:88	1908
cluster:88	366270
cluster:89	50672
cluster:89	13618
cluster:89	1910
cluster:91	25437
cluster:91	2010
cluster:91	13726
cluster:92	497010
cluster:92	13805
cluster:92	2022
cluster:93	2038
cluster:93	362202
cluster:93	13828
cluster:94	2052
cluster:94	25315
cluster:94	13849
cluster:95	13857
cluster:95	24336
cluster:95	2057
cluster:96	2071
cluster:96	13872
cluster:96	291703
cluster:100	2108
cluster:100	300726
cluster:100	110842
cluster:104	304929
cluster:104	14067
cluster:104	2153
cluster:106	2158
cluster:106	14071
cluster:106	24946
cluster:107	25598
cluster:107	14079
cluster:107	2169
cluster:108	361435
cluster:108	2175
cluster:108	14087
cluster:109	14088
cluster:109	2176
cluster:109	24361
cluster:110	29383
cluster:110	14085
cluster:110	2184
cluster:112	2206
cluster:112	25316
cluster:112	14126
cluster:113	361338
cluster:113	14151
cluster:113	2235
cluster:115	24368
cluster:115	2271
cluster:115	14194
cluster:117	14309
cluster:117	25449
cluster:117	2492
cluster:119	66848
cluster:119	292485
cluster:119	2519
cluster:120	2523
cluster:120	81919
cluster:120	14343
cluster:124	14420
cluster:124	314360
cluster:124	2581
cluster:125	2584
cluster:125	14635
cluster:125	287835
cluster:126	14430
cluster:126	2592
cluster:126	298003
cluster:129	288333
cluster:129	74185
cluster:129	2632
cluster:130	364975
cluster:130	270076
cluster:130	2639
cluster:131	2642
cluster:131	14527
cluster:131	24953
cluster:132	14528
cluster:132	29244
cluster:132	2643
cluster:134	14600
cluster:134	2690
cluster:134	25235
cluster:136	14609
cluster:136	24392
cluster:136	2697
cluster:137	2705
cluster:137	29584
cluster:137	14618
cluster:139	14634
cluster:139	140588
cluster:139	2737
cluster:141	2731
cluster:141	104174
cluster:141	309312
cluster:142	114516
cluster:142	110304
cluster:142	8001
cluster:143	691992
cluster:143	2811
cluster:143	14723
cluster:144	54368
cluster:144	2815
cluster:144	502858
cluster:145	14751
cluster:145	292804
cluster:145	2821
cluster:147	227753
cluster:147	296654
cluster:147	2934
cluster:148	2937
cluster:148	25458
cluster:148	14854
cluster:149	17688
cluster:149	100360342
cluster:149	2956
cluster:152	3030
cluster:152	97212
cluster:152	170670
